y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
1.110223024625157e-16,2.021587241307348e-14,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.261181991890053e-36,0.000000000000000e+00,3.408987787109243e-36,0.000000000000000e+00,4.564066482095328e-37,0.000000000000000e+00,2.358840060118953e-36,4.263217036674870e-04,4.080892981732117e-71,8.175679387521694e-04,4.394679731313035e-39,1.609251082783258e-04,6.662694799171442e-39,1.868451693614122e-02,6.208128852991479e-20,0.000000000000000e+00,2.607694776238150e-20
5.791461380333374e-05,1.054557883895367e-02,2.243022214745526e-05,2.690361124416050e-03,4.768781076210450e-06,1.117312037389849e-14,7.577993737371443e-08,1.117312037389850e-14,4.487573018764078e-08,7.061338677553639e-12,1.787738665485974e-08,6.539304640773432e-13,4.403529853492009e-08,4.240067098316742e-04,7.382549369853771e-10,8.173142973950206e-04,1.374629142721843e-07,1.605840631814704e-04,1.171344561193543e-08,1.868216309522766e-02,6.480652313902576e-06,6.661983297034902e-09,3.720669536573514e-06
2.141030191135096e-04,3.898567424427084e-02,8.291525693078207e-05,2.689942728505877e-03,1.762958429262639e-05,2.067763513252549e-12,1.035223421515204e-06,2.067763513252549e-12,6.087979816965460e-07,3.571974087046780e-10,2.436306349525656e-07,3.304411707423614e-11,6.004836623455525e-07,4.178435936873202e-04,1.008975263297347e-08,8.166599780034245e-04,5.086601466033250e-07,1.596676296571862e-04,4.284395809914420e-08,1.867591038595019e-02,2.395213076606068e-05,9.030726351715638e-08,1.375351808521197e-05
5.088966186284072e-04,9.266416643727822e-02,1.970506671812642e-04,2.689156412325918e-03,4.190338409686986e-05,6.486010070729489e-11,5.843965189989518e-06,6.486010070729483e-11,3.392008889437773e-06,4.807454518172614e-09,1.369003921303110e-06,4.437773945564542e-10,3.378522363846395e-06,4.065066396526509e-04,5.700556960726693e-08,8.155321414969516e-04,1.210713128732946e-06,1.579499690733178e-04,9.979862213860329e-08,1.866448688268794e-02,5.690101088139722e-05,5.023937025128779e-07,3.268005670363195e-05
9.825876412230539e-04,1.789178025409327e-01,3.803806045523996e-04,2.687891234031209e-03,8.090798834025488e-05,8.767209092121308e-10,2.176135214249474e-05,8.767209092121308e-10,1.236809995014771e-05,3.473228221798322e-08,5.059766124373140e-06,3.193626266252830e-09,1.251525413460653e-05,3.890352253144805e-04,2.125544096089135e-07,8.139672696756332e-04,2.340425949897936e-06,1.552185467374684e-04,1.865670447529458e-07,1.864716185681073e-02,1.097521275759466e-04,1.827260091626369e-06,6.304343549132905e-05
1.675417754204322e-03,3.050741230036028e-01,6.483670438245856e-04,2.685997900312334e-03,1.379569736637443e-04,7.116788794054844e-09,6.317174080906480e-05,7.116788794054847e-09,3.481865245762218e-05,1.730965329924548e-07,1.452577316526022e-05,1.580982878113059e-08,3.606593769216677e-05,3.649429231410583e-04,6.181947597222301e-07,8.121029173567787e-04,3.987786017744046e-06,1.512771620287999e-04,3.040604288614850e-07,1.862409768692400e-02,1.867801285700897e-04,5.124823581322982e-06,1.072698986087097e-04
2.627566689856309e-03,4.784493906250172e-01,1.016337897206718e-03,2.683199739246069e-03,2.163574873676339e-04,4.073732820513758e-08,1.550823954485179e-04,4.073732820513756e-08,8.195795154252514e-05,6.723368141629260e-07,3.511060106445502e-05,6.073902680346532e-08,8.770355873427728e-05,3.343730076758047e-04,1.521371510011303e-06,8.100727957791007e-04,6.217447379651374e-06,1.459470007894025e-04,4.527865693702284e-07,1.859677941125728e-02,2.919403775282109e-04,1.200079304187112e-05,1.675064842833285e-04
3.879140889489485e-03,7.063465227694476e-01,1.499371825497987e-03,2.678894542198507e-03,3.194038706527800e-04,1.800580929113566e-07,3.372191406903298e-04,1.800580929113565e-07,1.686921141803335e-04,2.180875411312401e-06,7.478547096937905e-05,1.937260229406678e-07,1.885297129469729e-04,2.981526119342421e-04,3.317947703376397e-06,8.077260337196645e-04,9.028837112933251e-06,1.390706222351064e-04,6.469672816941320e-07,1.856851574011172e-02,4.286059490254246e-04,2.453719568413383e-05,2.453594725974104e-04
5.412247554401284e-03,9.855074485118559e-01,2.089742990557799e-03,2.672069969644456e-03,4.455943255732981e-04,8.402658313359032e-07,6.544356184846975e-04,8.402658313359052e-07,3.063615482706462e-04,5.968268421169188e-06,1.415018522573220e-04,5.180656411512403e-07,3.612976899479511e-04,2.593466203504727e-04,6.458970080643272e-06,8.042723782858887e-04,1.217625222703873e-05,1.308425386189680e-04,9.383226488729052e-07,1.854561505264090e-02,5.930877313697745e-04,4.422134886005080e-05,3.381219566611508e-04
7.226453384460596e-03,1.315853268928577e+00,2.785669777339773e-03,2.660755413954965e-03,5.948190059249628e-04,2.414289584190228e-06,1.161328287834522e-03,2.414289584190229e-06,5.035563027335867e-04,1.427566196071412e-05,2.438079645830705e-04,1.204495598382605e-06,6.329016848890468e-04,2.206632994214029e-04,1.149380578526788e-05,7.978026551290536e-04,1.531015765212135e-05,1.214259760126575e-04,1.447917172506807e-06,1.853499384502915e-02,7.829612663908552e-04,7.210226060005191e-05,4.435632523910937e-04
9.321245632810338e-03,1.697290618769450e+00,3.583760453516039e-03,2.641730226250116e-03,7.668798970540268e-04,5.964387299831364e-06,1.917401071005606e-03,5.964387299831357e-06,7.636275229690120e-04,3.061152652181491e-05,3.896785843929521e-04,2.503563343008816e-06,1.031938640962375e-03,1.840885433431879e-04,1.901084534026436e-05,7.853420739286110e-04,1.793036748549391e-05,1.110817039808336e-04,2.331641820374221e-06,1.854460027955487e-02,9.951595674641486e-04,1.085250730643985e-04,5.589610505448347e-04
1.169603225078431e-02,2.129711692845490e+00,4.477793992208364e-03,2.427127109936275e-03,9.614537765282534e-04,1.303583040276311e-05,2.979885854951732e-03,1.303583040276309e-05,1.084776184786657e-03,5.988294215142797e-05,5.855531546814827e-04,4.752126556492527e-06,1.585609426411183e-03,1.515948008726049e-04,2.954673487736323e-05,7.634789688795690e-04,1.943759572882276e-05,1.001150646690082e-04,3.738120892186005e-06,1.858318799097148e-02,1.225986599941181e-03,1.531222169013210e-04,6.813610489151460e-04
1.435014205523744e-02,2.612994276497792e+00,5.457096268508358e-03,2.391084081772565e-03,1.178071796511444e-03,2.571891888999240e-05,4.392003997961141e-03,2.571891888999227e-05,1.460365865739460e-03,1.081686182782693e-04,8.353280090083318e-04,1.119443017717850e-05,2.314250907027611e-03,1.252899915899898e-04,4.344446286685430e-05,7.296639876945988e-04,1.926186764134869e-05,8.870788733245133e-05,7.144487669883162e-06,1.865996627801580e-02,1.471013738096848e-03,2.049105278220345e-04,8.078542077816317e-04
1.728282491824162e-02,3.147001780138933e+00,5.740401385844852e-03,2.336960536826241e-03,1.416133195741597e-03,4.659128933161981e-05,6.168049639734071e-03,4.659128933161978e-05,1.877483383764040e-03,1.819917920905704e-04,1.139350841590941e-03,1.863124675490144e-05,3.223815711341734e-03,1.069491089785086e-04,6.069162967032631e-05,6.835968213206560e-04,1.711333881027457e-05,7.674034464320365e-05,1.107867850777451e-05,1.878413684765092e-02,1.724893302773818e-03,2.625736878826994e-04,9.357760931687394e-04
