y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.882956722227374e-35,0.000000000000000e+00,1.748070833012212e-38,0.000000000000000e+00,9.414783611136872e-36,7.588239581363117e-02,1.344302030040272e-70,1.728780923063720e-01,-1.248999924522850e-40,-1.235187210900333e-04,2.570656236980395e-40,5.609295595713676e+00,4.258191890112493e-20,0.000000000000000e+00,-8.039846150715094e-22
4.814781378392752e-05,4.474289989264460e-03,4.474289989190508e-03,9.999999999086202e-01,3.151067925165686e-07,-6.792227690562033e-14,3.460488791037114e-06,6.792227690562033e-14,1.517382675675919e-06,-9.891021537802725e-11,2.472223280675497e-09,-8.263475893572061e-14,2.488935767317655e-06,7.570990337847369e-02,1.976024277327464e-08,1.728377568567905e-01,-9.882560906156753e-06,-1.234656854897769e-04,-8.231626281240628e-09,5.609080066974408e+00,5.905051791219854e-04,-2.412048128035842e-07,3.915082284258840e-07
2.407066139520353e-04,2.236843396438600e-02,2.236843389472890e-02,9.999999875379046e-01,1.575321086477799e-06,-4.219883084659376e-11,8.644878222924162e-05,4.219883084659376e-11,3.775214462827158e-05,-1.238020783363483e-08,6.173610743562274e-08,-1.034942536913950e-11,6.210048452817202e-05,7.502372884875005e-02,4.938745541433624e-07,1.726788375948071e-01,-4.951043952213712e-05,-1.232561325963095e-04,-4.077282266654817e-08,5.608225558749478e+00,2.951484522404725e-03,-5.998864672975907e-06,1.956847217079537e-06
6.738422300787139e-04,6.261895000913356e-02,6.261894572842935e-02,9.999997263619119e-01,4.409995442485692e-06,-2.560136472315225e-09,6.767902343733790e-04,2.560136472315225e-09,2.928426742057857e-04,-2.726494155266828e-07,4.828996758608483e-07,-2.281570630759232e-10,4.848177343578185e-04,7.350154061373454e-02,3.870500744888477e-06,1.723349709281872e-01,-1.392097279378010e-04,-1.228002213510607e-04,-1.117189361424945e-07,5.606347024579394e+00,8.256413104916741e-03,-4.649390610654720e-05,5.473673862862291e-06
1.443558326269967e-03,1.341472864611176e-01,1.341471959340101e-01,9.999972951361057e-01,9.447302032712384e-06,-5.275741569638927e-08,3.100588471410811e-03,5.275741569638927e-08,1.319745840410821e-03,-2.698454877486294e-06,2.208960555561937e-06,-2.259802595401323e-09,2.210193534618664e-03,7.087651024344660e-02,1.776470620092918e-05,1.717718696106698e-01,-3.002146628566334e-04,-1.220410358365594e-04,-2.299219919859580e-07,5.603157192969698e+00,1.765173527456124e-02,-2.092171735654826e-04,1.169933935438573e-05
2.645631688031891e-03,2.458538082365311e-01,2.458527796856310e-01,9.999831992678547e-01,1.731309741464634e-05,-5.752187274280420e-07,1.038769346058231e-02,5.752187274280420e-07,4.309296728565832e-03,-1.677740951884839e-05,7.383467848374363e-06,-1.403588448708321e-08,7.348782703937785e-03,6.698771414843274e-02,5.968300388201780e-05,1.710093085082378e-01,-5.544538607947333e-04,-1.209869596196162e-04,-3.937671314822266e-07,5.598554292668531e+00,3.219991999124088e-02,-6.814837107190734e-04,2.132939490966469e-05
4.375547662071155e-03,4.066117973665867e-01,4.066040215491721e-01,9.999230093171501e-01,2.862703894202632e-05,-4.097866792153768e-06,2.831818950943596e-02,4.097866792153768e-06,1.132167300611251e-02,-7.692732442360795e-05,2.006534041105793e-05,-6.401926221127095e-08,1.982198019117031e-02,6.181374783647040e-02,1.633278728252468e-04,1.701202153656868e-01,-9.221442594642716e-04,-1.197609055028215e-04,-5.840923729873955e-07,5.592737026917399e+00,5.275593752341548e-02,-1.783811349212420e-03,3.491480795219913e-05
6.728435792545118e-03,6.252614717896664e-01,6.252174028551897e-01,9.997154729019718e-01,4.398897060365064e-05,-2.144480185745582e-05,6.668897372754108e-02,2.144480185745582e-05,2.536172016456041e-02,-2.843774515258348e-04,4.708009734785905e-05,-2.336318025535493e-07,4.603606934697947e-02,5.548093009011182e-02,3.864724672977724e-04,1.691865112507691e-01,-1.414698730779362e-03,-1.186261631899712e-04,-7.566519599678350e-07,5.586346328314150e+00,7.974103667795314e-02,-3.974616024482316e-03,5.272985556901862e-05
9.750857883363828e-03,9.061297364417193e-01,9.059323331954957e-01,9.991185929824333e-01,6.362611147645760e-05,-8.694850835097416e-05,1.393905697885472e-01,8.694850835097416e-05,4.974366117959943e-02,-8.810927900742891e-04,9.807639314325501e-05,-7.069784050169383e-07,9.461058973824879e-02,4.836722613918264e-02,8.120782961961421e-04,1.682111425670838e-01,-2.011295747292530e-03,-1.178776649020749e-04,-8.367669737802655e-07,5.580700030860650e+00,1.123118263916286e-01,-7.740140769669226e-03,7.431244499568729e-05
1.344077661230325e-02,1.249027266622089e+00,1.248303562250853e+00,9.976541698651946e-01,8.731505541789403e-05,-2.836193396880003e-04,2.633155022869069e-01,2.836193396880003e-04,8.707885332125541e-02,-2.345237766031600e-03,1.849804683419808e-04,-1.815907175357945e-06,1.753389874739252e-01,4.100868294692352e-02,1.541915414993988e-03,1.669583509523316e-01,-2.645010824559178e-03,-1.173978567238241e-04,-7.315149590330935e-07,5.577695192616823e+00,1.482935638091241e-01,-1.343066183081893e-02,9.864843635999353e-05
1.779570471808556e-02,1.653722925600746e+00,1.651470312520483e+00,9.944967258249955e-01,1.145638280704557e-04,-7.748025717156529e-04,4.579762498052019e-01,7.748025717156529e-04,1.388565288402957e-01,-5.502249653420122e-03,3.222773715220433e-04,-4.065082344256912e-06,2.988037906086066e-01,3.393025747370078e-02,2.692682998762454e-03,1.648356070088906e-01,-3.205997281614517e-03,-1.160607907028637e-04,-3.398340229858421e-07,5.579598859638225e+00,1.848675122066755e-01,-2.120159852433790e-02,1.249483291984413e-04
2.281270667696611e-02,2.119943920420510e+00,2.113815980276533e+00,9.883936004624853e-01,1.444278773692995e-04,-1.832270261604300e-03,7.437100127966839e-01,1.832270261604300e-03,2.051289630880512e-01,-1.160474592698457e-02,5.263615352731123e-04,-8.107202968347384e-06,4.753356230731697e-01,2.763315876446163e-02,4.381770507319953e-03,1.609526711837291e-01,-3.548640696031162e-03,-1.114766555552415e-04,4.466587084419667e-07,5.588969058383327e+00,2.189059685484390e-01,-3.098387103889318e-02,1.530356069692659e-04
2.848840068147995e-02,2.647375985778413e+00,2.632490824880225e+00,9.776821888828834e-01,1.753081291608442e-04,-3.849217385035835e-03,1.138238318239454e+00,3.849217385035835e-03,2.845153837204784e-01,-2.231528857621700e-02,8.129479891874618e-04,-1.464741752340651e-05,7.133014596724843e-01,2.255780256322440e-02,6.702328137971086e-03,1.544321285821733e-01,-3.517145364004259e-03,-1.006821322313638e-04,1.727527246925848e-06,5.608515572230896e+00,2.474776979296256e-01,-4.250842289316079e-02,1.832982141541749e-04
3.481896092001469e-02,3.235663595862318e+00,3.202864458660994e+00,9.604695914266838e-01,2.048021306815309e-04,-7.330426945490463e-03,1.651553564176577e+00,7.330426945490463e-03,3.745153033422658e-01,-3.952673100670260e-02,1.191582553388786e-03,-2.426246743061999e-05,1.016699647232167e+00,1.901605745021969e-02,9.690934191570471e-03,1.449113576349131e-01,-2.984907745883771e-03,-8.181776379191571e-05,3.537832263643349e-06,5.640904272134813e+00,2.684154643966841e-01,-5.536758783767175e-02,2.158781532665492e-04
4.180012015567314e-02,3.884410204000000e+00,3.818059480632118e+00,9.349870389230540e-01,2.297123228902173e-04,-1.285953733974235e-02,2.280368601120992e+00,1.285953733974235e-02,4.720405818230954e-01,-6.500777999254731e-02,1.658338484113531e-03,-3.715479290423643e-05,1.382634360141915e+00,1.712299168649317e-02,1.329897148092800e-02,1.329294892674897e-01,-1.893708992828366e-03,-5.560561677621680e-05,5.769403122956834e-06,5.688529278433263e+00,2.808113686753181e-01,-6.908612953111375e-02,2.491651500406055e-04
