y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.397251019299669e-36,0.000000000000000e+00,1.096453733209932e-36,0.000000000000000e+00,2.546599601754151e-37,0.000000000000000e+00,8.880485910134592e-37,3.796038669140365e-04,1.567380105810504e-71,1.112279308300320e-03,6.062056916591119e-40,3.069767781486232e-05,7.678780634324635e-40,3.012225275471575e-02,4.219436266187786e-20,0.000000000000000e+00,1.459548111027939e-20
1.217311652923492e-06,2.428240184538776e-03,4.477032006090488e-06,2.332159684503498e-03,7.107881025028044e-07,1.808693349083826e-17,5.752001485180570e-09,1.808693349083826e-17,1.739603656540065e-09,8.503584019394691e-14,1.810134256499543e-10,4.915372658234813e-15,3.004652307978706e-09,3.790644241580696e-04,4.109747872974689e-11,1.112071627791510e-03,3.241543316169752e-08,3.070169310882057e-05,1.667850189794214e-09,3.012177595641752e-02,1.424159489173467e-06,3.855152909471607e-10,3.025948179247648e-07
6.086537518545931e-06,1.214115953933537e-02,2.238502823538672e-05,2.332148131720253e-03,3.553928003803562e-06,1.126594975216144e-14,1.437403086528211e-07,1.126594975216144e-14,4.335438839501899e-08,1.064476428794476e-11,4.526494962092916e-09,6.147993948275063e-13,7.506810128928691e-08,3.769170774448633e-04,1.027431477539108e-09,1.111249317602921e-03,1.623702105247934e-07,3.071797682686982e-05,8.355793721012743e-09,3.011987835011169e-02,7.120046899822195e-06,9.606114404323296e-09,1.512953751500313e-06
1.704221791976046e-05,3.399507290269083e-02,6.267739435004235e-05,2.332121046719989e-03,9.950939656000897e-06,6.872018305676339e-13,1.125890493599760e-06,6.872018305676339e-13,3.375242329669579e-07,2.344268552633323e-10,3.550872095806690e-08,1.351520160084856e-11,5.876972033749007e-07,3.721448057917568e-04,8.055063449289868e-09,1.109447148267238e-03,4.564132913341100e-07,3.075589637527139e-05,2.349609961270103e-08,3.011566475395067e-02,1.993097243754033e-05,7.475506185367339e-08,4.236103228550913e-06
3.651878945154508e-05,7.284608820098583e-02,1.343062743943424e-04,2.332068280022968e-03,2.132322731233823e-05,1.429478340559689e-11,5.161708342451843e-06,1.429478340559689e-11,1.530751920031494e-06,2.319733761077887e-09,1.632280571490457e-07,1.333281634513395e-10,2.691952565212721e-06,3.638545173341784e-04,3.698854858689293e-08,1.106400203931481e-03,9.842920475355454e-07,3.082757032540423e-05,5.069628413903521e-08,3.010836508271911e-02,4.268600284155644e-05,3.387674417200702e-07,9.076371642771005e-06
6.695054349292739e-05,1.335500236901577e-01,2.462210170669088e-04,2.331970159170518e-03,3.909186639976213e-05,1.581192604912120e-10,1.730785432880772e-05,1.581192604912120e-10,5.046917894418407e-06,1.441785095325771e-08,5.496102577031779e-07,8.249431902659279e-10,9.014338601988924e-06,3.513664178065296e-04,1.243350283461658e-07,1.102012326697342e-03,1.820163952783968e-06,3.095001019847944e-05,9.376989632386432e-08,3.009744790602957e-02,7.817353267703723e-05,1.115446067176187e-06,1.663541201589846e-05
1.107715847206148e-04,2.209623252004996e-01,4.073643437867089e-04,2.331782768722873e-03,6.467703964406180e-05,1.149637502755584e-09,4.722770094083904e-05,1.149637502755584e-09,1.344145920154735e-05,6.608671462070328e-08,1.508705356194111e-06,3.758723142644488e-09,2.455162195734661e-05,3.343042554344083e-04,3.404526477727363e-07,1.096407681543579e-03,3.040808818900735e-06,3.114740041895021e-05,1.564110543637274e-07,3.008277036144262e-02,1.290783765265453e-04,2.964559034365791e-06,2.750684004834797e-05
1.704157896263991e-04,3.399379833889890e-01,6.266619302205377e-04,2.331406816524454e-03,9.949676344804553e-05,6.181682128623783e-09,1.113263685992655e-04,6.181682128623783e-09,3.065832896721353e-05,2.443544973915658e-07,3.585297182976791e-06,1.379911605834324e-08,5.773537372957457e-05,3.126688098686183e-04,8.061857955360959e-07,1.089927518434062e-03,4.716878123767672e-06,3.145311526725621e-05,2.407327878538390e-07,3.006476403437461e-02,1.978561813204335e-04,6.740555286731677e-06,4.226482167979373e-05
2.470994533848581e-04,4.929032108135004e-01,9.085213470814701e-04,2.330643945783327e-03,1.442539899497185e-04,2.593117598553701e-08,2.329424125703192e-04,2.593117598553701e-08,6.150319341184109e-05,7.585257046269089e-07,7.580400691184925e-06,4.252217613134662e-08,1.204624537421941e-04,2.872550535697260e-04,1.696265404373434e-06,1.083116190867110e-03,6.858211364775258e-06,3.190312084621573e-05,3.418405488323085e-07,3.004494247679319e-02,2.851530542209740e-04,1.346185655823787e-05,6.114552584184434e-05
3.408212691252688e-04,6.798554005853233e-01,1.252783798993318e-03,2.329146624269144e-03,1.989340645595858e-04,8.807516771442567e-08,4.407977419552092e-04,8.807516771442567e-08,1.105852598467308e-04,2.029764755798524e-06,1.452850962881303e-05,1.130825698702585e-07,2.272288256171603e-04,2.594193177017863e-04,3.230134255625232e-06,1.076351712527407e-03,9.384471621104297e-06,3.874001594211607e-05,4.438560625204118e-07,3.002579195675813e-02,3.896965449895030e-04,2.406077953463348e-05,8.403350479223694e-05
4.515796396062921e-04,9.007913665971081e-01,1.659110871670913e-03,2.326370282973827e-03,2.635126362002161e-04,2.519782821611212e-07,7.692816025131673e-04,2.519782821611212e-07,1.818299370733382e-04,4.814210978132580e-06,2.574502508661524e-05,2.671821246312953e-07,3.952392862160768e-04,2.305042324602720e-04,5.675538107689894e-06,1.069359589660811e-03,1.213149926003310e-05,4.013161196484354e-05,5.238847820939630e-07,3.001034873808560e-02,5.096525820632087e-04,3.926208083752010e-05,1.107537218105282e-04
5.793726772437280e-04,1.155707343578231e+00,2.126842433231828e-03,2.321592867496300e-03,3.379538632247870e-04,6.271289820478383e-07,1.257737156953287e-03,6.271289820478383e-07,2.779364686780044e-04,1.034558028107872e-05,4.285890301411948e-05,5.738095761418129e-07,6.440403383897813e-04,2.018032853702962e-04,9.343737805227188e-06,1.060917409753120e-03,1.483119537625719e-05,4.172330528002543e-05,5.040109613154959e-07,3.000219165614986e-02,6.426644259952636e-04,5.945940595996478e-05,1.410691043170796e-04
7.241982041420458e-04,1.444598987157692e+00,2.654805818181960e-03,2.314062728767183e-03,4.222127825390647e-04,1.392061131617352e-06,1.948880432413136e-03,1.392061131617352e-06,4.000350206629517e-04,2.047110687352640e-05,8.090690463787898e-05,1.138769094878085e-06,9.947568667058565e-04,1.745472057134601e-04,1.457662796028136e-05,1.048706663380486e-03,1.710845393536274e-05,4.344209816498971e-05,5.439770412692441e-07,3.000540897439451e-02,7.859974896973237e-04,8.464997677728740e-05,1.746868034160927e-04
8.860537521320211e-04,1.767461373939184e+00,3.241109200930428e-03,2.303151718655456e-03,5.162470344306229e-04,2.809284729774411e-06,2.885651868111079e-03,2.809284729774411e-06,5.475887570265809e-04,3.773089624596685e-05,1.237097536724263e-04,2.112481636127470e-06,1.468574822986181e-03,1.498740785322944e-04,2.172045785889322e-05,1.029527793809981e-03,1.850631122529045e-05,4.515393912633387e-05,5.681289791200084e-07,3.002452193431374e-02,9.367608557494065e-04,1.144347956461532e-04,2.112711627933513e-04
