dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y
-2.7251831491460953e-11,52.415734712921505,2.7291630162063634e-11,-7.3673062419265365e-25,1.525817228065935e-11,7.0092814833379535e-25,1.100105248117843e-28,-2.112877673752823e-16,-2.112877673752823e-16,0.003121446871656691,4.473643103974324e-14,-1.1897801135238024e-20,-0.000414581523596307,-2.5767518015909173e-06,0.0,0.0,0.0025025606553600002,0.0,0.0,3.77872898935017e-37,0.0,7.130269445408019e-37,0.0,-1.0683304089667976e-39,0.0,5.4544992173790954e-37,0.00019116248492815897,7.391645442814533e-72,0.00043876381505190216,9.796598218690622e-43,1.6116296669977268e-07,-5.323529657408093e-42,0.015976445114880142,-5.798931761663828e-21,0.0,4.198991398728254e-24,0.0
-2.7243423918468988e-11,52.411768752603535,2.7283319253021972e-11,-7.35461173227284e-25,1.5248185919738444e-11,6.996898995605427e-25,1.099766591581584e-28,-2.112722395302343e-16,-2.112722395302343e-16,0.0032547713781603538,4.473520398262905e-14,-1.2436801238978333e-20,-0.00041381179376291703,-2.572743655536789e-06,6.92140567951212e-06,0.00013835708343249166,0.0025025537373867704,-9.955943172546433e-09,-2.3105564682017483e-17,3.3559949045009056e-09,2.3105564682017458e-17,1.461244583386296e-09,-5.41261332097128e-14,-1.2331592895675072e-12,-2.2426018024300907e-18,2.408619755496383e-09,0.00019089933994958204,1.7628041340213268e-11,0.00043870549349552164,-1.4153245202038383e-08,1.6126272950895433e-07,-5.76597248861581e-13,0.01597612423199593,8.239691950156265e-07,-2.219352703188329e-10,9.482246663194778e-10,2.764315143122253e-06
-2.7209793951877876e-11,52.395905064816056,2.7250075938491135e-11,-7.303834184941118e-25,1.5208240862531352e-11,6.947369523883003e-25,1.098411978542704e-28,-2.112101287509766e-16,-2.112101287509766e-16,0.003788064244458378,4.4730295801659933e-14,-1.4592780794400243e-20,-0.0004107329042182376,-2.556711226437278e-06,3.4606760536140095e-05,0.00069177623752507,0.0025025260580642523,-4.977931767692793e-08,-1.4391056844469722e-14,8.387638169460403e-08,1.4391056844469716e-14,3.6430115153795e-08,-6.772994029087937e-12,-3.086649003509182e-11,-2.868732147143912e-16,6.015325561972792e-08,0.00018985145039813916,4.406947798212007e-10,0.0004384749091459641,-7.08665779561183e-08,1.616575127133801e-07,-2.757949142609806e-12,0.01597484743567526,4.118875251798143e-06,-5.531726607988893e-09,4.740742808005106e-09,1.382146873540879e-05
-2.713412774719715e-11,52.360212342854325,2.7175279686917676e-11,-7.189586545735841e-25,1.5118365933086322e-11,6.8359300095164535e-25,1.0953641483527644e-28,-2.1107038175112577e-16,-2.1107038175112577e-16,0.0049879538449058985,4.471925257255612e-14,-1.9443656571693314e-20,-0.0004038055144497741,-2.5206388426456946e-06,9.689780449434529e-05,0.0019369268524166896,0.002502463646552405,-1.3938021497521296e-07,-8.77714853167923e-13,6.571902542362746e-07,8.777148531679225e-13,2.8384500996007393e-07,-1.490389683852621e-10,-2.4264844596007766e-10,-6.610077220051631e-15,4.705180709556009e-07,0.0001875204598784804,3.4549978541345782e-09,0.0004379714173248878,-1.9903583901172781e-07,1.6252186250324782e-07,-6.9463495065627414e-12,0.015972013984984632,1.1526205948437206e-05,-4.307699751364008e-08,1.327034369475604e-08,3.869966314673512e-05
-2.6999613086755924e-11,52.296760047405336,2.7042311574863766e-11,-6.986484216779928e-25,1.4958591887758035e-11,6.63781978979546e-25,1.0899459058915204e-28,-2.1082194824885172e-16,-2.1082194824885172e-16,0.007121042756292523,4.469962060846671e-14,-2.806724104746379e-20,-0.00039149043288356063,-2.456511608069772e-06,0.00020763493822430331,0.00415040093540455,0.0025023516007976207,-2.9866501966895957e-07,-1.8253652696901372e-11,3.014563826977742e-06,1.825365269690136e-11,1.289129026471148e-06,-1.4727307366319804e-09,-1.1194237978852944e-09,-7.014832545393178e-14,2.1518555535507943e-06,0.00018346443341373152,1.5864854776614165e-08,0.00043712585056732964,-4.2865586486611497e-07,1.6398170227605058e-07,-1.2008812271924849e-11,0.01596711097317533,2.4669254710575738e-05,-1.954473020552314e-07,2.841175738199122e-08,8.29265658670586e-05
-2.6789440030343904e-11,52.197618713463534,2.683455493016765e-11,-6.669146038911091e-25,1.470895218802708e-11,6.328281556203361e-25,1.081480147774705e-28,-2.1043378216853892e-16,-2.1043378216853892e-16,0.010453897440192178,4.4668946554928547e-14,-4.1541200692865e-20,-0.0003722486764516265,-2.3563157123520625e-06,0.0003806566875116307,0.007608652303168297,0.0025021708799983244,-5.475296638337708e-07,-2.018395199641003e-10,1.0116595138891782e-05,2.0183951996410019e-10,4.259571258766424e-06,-9.134361488918836e-09,-3.788858717828239e-09,-4.758783240061425e-13,7.1881841185890846e-06,0.00017733972991902265,5.332672969278074e-08,0.0004359205078363991,-7.912294037476803e-07,1.6608190343834229e-07,-1.411673199691522e-11,0.015959793065937287,4.511975070234601e-05,-6.447646998342284e-07,5.196764721043408e-08,0.0001520290955829839
-2.648680156576027e-11,52.054860257203075,2.6535395975012998e-11,-6.21219527393901e-25,1.434948377320997e-11,5.882562312531147e-25,1.0692898885580958e-28,-2.0987484284227717e-16,-2.0987484284227717e-16,0.01525303792677496,4.462477748481164e-14,-6.094301426763714e-20,-0.00034454153015102293,-2.2120387410063887e-06,0.000629799167703001,0.01258790107851323,0.002501888936638276,-9.058425027362384e-07,-1.4667903677559126e-09,2.7636670615845595e-05,1.466790367755911e-09,1.137957870018535e-05,-4.175074301844423e-08,-1.0470005207206353e-08,-2.3890939062829054e-12,1.9508858053199348e-05,0.00016894429030794806,1.4600763473499078e-07,0.0004344015369513932,-1.319081667069285e-06,1.6875324320011604e-07,-5.651497082186862e-12,0.015949987852121435,7.431942651573045e-05,-1.7183560427238044e-06,8.55244434350101e-08,0.0002515332082846378
-2.6074894259255146e-11,51.860558282799474,2.612822446889208e-11,-5.590260586740347e-25,1.3860227833041588e-11,5.275914332833291e-25,1.0526982869372612e-28,-2.0911409621115406e-16,-2.0911409621115406e-16,0.021784927500321585,4.456466099324895e-14,-8.734993112103142e-20,-0.0003068306065930193,-2.0156699855031036e-06,0.0009688955482401596,0.019363948572127226,0.0025014372664899334,-1.3934086495042446e-06,-7.881929995643546e-09,6.5241622611809e-05,7.881929995643544e-09,2.6062140890329194e-05,-1.5382646515933906e-07,-2.507136941750654e-08,-9.539972572823216e-12,4.565582271606691e-05,0.00015825356246290876,3.456926941525308e-07,0.0004326697415212108,-2.0420719010439376e-06,1.7178186413045203e-07,2.528371508553228e-11,0.01593802670905293,0.00011342548159417058,-3.921975115256947e-06,1.3015987779114582e-07,0.0003869636834078483
-2.554532647881819e-11,51.61075434950082,2.5604745260467442e-11,-4.790671536788762e-25,1.3231216941006478e-11,4.4959786069027755e-25,1.0313673284777265e-28,-2.0813604387132805e-16,-2.0813604387132805e-16,0.030182637880531493,4.448737234965913e-14,-1.2129992939828046e-19,-0.0002583476353724268,-1.7632088993394174e-06,0.0014048541116336807,0.028073494357702383,0.0025006785323767535,-2.0199638607329638e-06,-3.303758221740174e-08,0.00013675074508685443,3.3037582217401707e-08,5.255130463607821e-05,-4.755441612912798e-07,-5.341245196199709e-08,-3.0964074127581405e-11,9.466754365257502e-05,0.00014562996935764313,7.271529587778778e-07,0.00043085628640848734,-2.9651170257627053e-06,1.7474837228379256e-07,9.269107272458608e-11,0.015924988043210377,0.00016229527181656366,-7.871862163374967e-06,1.851289252879555e-07,0.0005610795948808311
-2.489811871894145e-11,51.30545812482262,2.496497860860088e-11,-3.8134590685110707e-25,1.2462475440086225e-11,3.5427853185746515e-25,1.0052978386964034e-28,-2.0694072367382908e-16,-2.0694072367382908e-16,0.040445844072541,4.439291454514467e-14,-1.6279169522041463e-19,-0.00019909449280027653,-1.4546652528637423e-06,0.0019376579861069174,0.03871346944122289,0.002499352511810396,-2.7851289285891878e-06,-1.1211388942663616e-07,0.00025926798657095436,1.1211388942663608e-07,9.506155013271663e-05,-1.2668304963478158e-06,-1.0301126833193576e-07,-8.266184957178542e-11,0.00017722082529654878,0.00013171782945449635,1.3839729242038948e-06,0.00042899478045268114,-4.057066994967091e-06,1.770976480460081e-07,2.0754404627459293e-10,0.015912621412145774,0.0002193475506194799,-1.4157047082794949e-05,2.476469262823993e-07,0.0007738742043458258
