dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y,dU/dy
-1.0545516347768268e-11,11.3012,1.0535347045913155e-11,-4.9045917542963365e-24,1.2493069044639787e-11,4.899592846518005e-24,-1.7083370503288684e-26,1.830760099019814e-14,1.830760099019814e-14,8.720264533038091e-09,2.798391474232256e-15,3.291090527520804e-23,-2.0259924881212166e-08,-1.2107477226598e-12,0.0,0.0,0.0,0.0,0.0,0.0,3.563716354824375e-38,0.0,-1.4417642967616798e-41,0.0,1.7818581774121883e-38,0.0002503044452657453,2.5156740216551194e-73,0.0005795779924687254,-3.1981627370600808e-43,-1.441742217158267e-07,-3.933976912977274e-43,0.021525836378823816,1.3169495535598941e-22,0.0,1.5168372210288574e-25,0.0,12.024869682999139
-1.0519703044825164e-11,11.3012,1.0509804487845742e-11,-4.850289956366923e-24,1.2278382635778421e-11,4.845457091344386e-24,-1.7041558399146284e-26,1.8307606278183996e-14,1.8307606278183996e-14,0.00023278691512594596,2.8981567305358025e-15,3.77129229280422e-19,-1.8830237528375397e-08,-1.139442141819663e-12,1.3590354338002952e-05,0.0002476841378345904,9.981674409042553e-09,-2.2156454847444466e-16,1.1808511443477038e-08,2.2156454847444466e-16,5.094586498474621e-09,-3.040822947846903e-13,2.9375388785349497e-12,-4.84631593535457e-18,8.451549081758104e-09,0.0002497393412977637,6.023228339039398e-11,0.0005794501521004565,-2.9850546013942183e-08,-1.4415085450216891e-07,-4.798731773497651e-13,0.02152513447573058,1.9851639108982545e-06,-7.925037865474038e-10,-5.466315635960258e-10,2.059765673623204e-05,12.02486966418639
-1.0416457276762543e-11,11.3012,1.0407641621211945e-11,-4.63309842350648e-24,1.1419698908850721e-11,4.628929681625839e-24,-1.6874322039815926e-26,1.8307627428602526e-14,1.8307627428602526e-14,0.0011638325689762407,3.297188986722762e-15,1.8854057605730286e-18,-1.3111900391961531e-08,-8.542403806495276e-13,6.794785267764059e-05,0.0012383492613181292,4.990548707343087e-08,-1.3767143945193855e-13,2.9504930228170346e-07,1.3767143945193855e-13,1.2677577051003653e-07,-3.807615900021329e-11,7.340613892895453e-11,-6.009521878505448e-16,2.1091260523158974e-07,0.000247491809139847,1.505638726398903e-09,0.0005789465314222909,-1.4960610480187363e-07,-1.4405697748133748e-07,-2.46440964871228e-12,0.021522351482862162,9.92343223266933e-06,-1.97126499130204e-08,-2.7327936543375316e-09,0.0001029823439926414,12.02486924691459
-1.0184182210386789e-11,11.3012,1.0177802790296283e-11,-4.1444761907694145e-24,9.487892662352184e-12,4.141801546417033e-24,-1.6498085442492748e-26,1.8307675011326356e-14,1.8307675011326356e-14,0.0032584335885140828,4.194903687587564e-15,5.278620204059897e-18,-2.471877471404556e-10,-2.1261352030116343e-13,0.0001902375287755637,0.003467077741159184,1.397231416495543e-07,-8.35270541573844e-12,2.3105435078325314e-06,8.35270541573844e-12,9.836920074568994e-07,-8.391594660176397e-10,5.749775364886785e-10,-1.2992774353171786e-14,1.6471219339974233e-06,0.0002425035092848936,1.1802451244350935e-08,0.0005778545237959707,-4.209825156577903e-07,-1.438416516529382e-07,-7.326419082513435e-12,0.02151623312117374,2.776481074652276e-05,-1.5281188003685186e-07,-7.649504616168684e-09,0.000288325618200469,12.02485952517009
-1.00622e-11,11.3012,1.00571e-11,-3.887870000000001e-24,8.47338e-12,3.88598e-24,-1.63005e-26,1.83077e-14,1.83077e-14,0.00435844,4.66635e-15,7.06061e-18,6.50888e-09,1.24345e-13,0.00025445951019899114,0.004637521580841095,1.8689169242009446e-07,-5.673295717158341e-11,4.756609487669742e-06,5.673295717158341e-11,2.0034121179802924e-06,-3.047780552994278e-09,1.1839275295547364e-09,-4.626427293459334e-14,3.380039169303602e-06,0.00023996201980023345,2.4325249272654398e-08,0.0005773254371307761,-5.651727297187145e-07,-1.4372669671910454e-07,-1.0310075202618953e-11,0.02151316364903427,3.710451431186988e-05,-3.1087665350223503e-07,-1.0228944199414482e-08,0.000385661,12.024854868217616
-9.771318220320797e-12,11.3012,9.76926915694265e-12,-3.275960564919027e-24,6.0541481481065235e-12,3.2759416471441477e-24,-1.5829332893183764e-26,1.8307759588605897e-14,1.8307759588605897e-14,0.006981542349243974,5.790572474268098e-15,1.1309986704763981e-17,2.2619565350675763e-08,9.27864576768459e-13,0.0004076048269770399,0.007428590754138424,2.993709789448909e-07,-1.72101695674065e-10,1.0589558596984e-05,1.72101695674065e-10,4.435061778887276e-06,-8.314512729593391e-09,2.636044663332123e-09,-1.2560430693848766e-13,7.512396238783472e-06,0.00023390152145387792,5.418742151470336e-08,0.0005760637640532975,-9.090122612813397e-07,-1.4345257235596654e-07,-1.7424974985260035e-11,0.021505844110260755,5.937620119268585e-05,-6.87801800738135e-07,-1.6379939284438655e-08,0.000617769345912289,12.024802117026397
-9.57405e-12,11.3012,9.57407e-12,-2.8609800000000003e-24,4.41349e-12,2.86223e-24,-1.55098e-26,1.83078e-14,1.83078e-14,0.00876046,6.55299e-15,1.41918e-17,3.35454e-08,1.4727899999999998e-12,0.0005114638728223589,0.009321405064610043,3.75649522663722e-07,-6.931456061933281e-10,1.820741078882548e-05,6.931456061933281e-10,7.510432533705774e-06,-2.1607189198598535e-08,4.533164768931841e-09,-3.2279837548400715e-13,1.2859268234068722e-05,0.0002300060698741559,9.331744643218972e-08,0.0005753210169510068,-1.145328665225307e-06,-1.4326539169487054e-07,-2.3493137028751444e-11,0.02150125985834161,7.435827955025539e-05,-1.1628663745712332e-06,-2.0538096690985317e-08,0.000775179,12.024766342583504
-7.825146502450033e-12,11.3012,7.835500053055751e-12,-2.6472898010506523e-24,2.26177779869815e-12,2.645842907790636e-24,-1.2676518400706431e-26,1.8307618391026262e-14,1.8307618391026262e-14,0.012797663808000504,8.38267316906883e-15,2.0731993166755953e-17,1.016138962289612e-07,8.187264218404058e-12,0.0007471677743601353,0.01361707054308127,5.487605907638986e-07,-1.8756336753096087e-09,3.549581805601075e-05,1.8756336753096087e-09,1.4489862006469105e-05,-5.1774380511815515e-08,8.8386020751977e-09,-7.703223339219671e-13,2.499377784807758e-05,0.00022116550015662318,1.8212145445339037e-07,0.000573635382460136,-1.6816391806321923e-06,-1.4284059275941285e-07,-3.726458521771858e-11,0.0214908560841284,0.00010835950008219797,-2.241006199787904e-06,-2.997486665121526e-08,0.001132413839837088,12.024390144941492
-7.64804e-12,11.3012,7.65944e-12,-2.62565e-24,2.04388e-12,2.6239300000000002e-24,-1.23896e-26,1.83076e-14,1.83076e-14,0.0132065,8.56796e-15,2.13943e-17,1.0850699999999998e-07,8.86722e-12,0.0007710368407057986,0.014052065428642032,5.662898163630427e-07,-2.435973937501355e-09,3.849047821201068e-05,2.435973937501355e-09,1.5642550512889266e-05,-6.086054746732387e-08,9.584389859691843e-09,-9.09092424334601e-13,2.7067732349418725e-05,0.00022033858902522168,1.9757550819973154e-07,0.0005734962671503316,-1.7363517052805977e-06,-1.4279757244104247e-07,-3.9116501616373555e-11,0.02148993185288427,0.00011174296751948933,-2.4180943235843274e-06,-3.0922593656391736e-08,0.00116859,12.024352048471965
-6.25273e-12,11.3012,6.27411e-12,-5.96796e-24,8.20929e-12,5.98504e-24,-1.01291e-26,1.83075e-14,1.83075e-14,0.017697,9.5455e-15,2.86688e-17,2.65538e-07,3.571889999999999e-11,0.0010332087646949218,0.018829941715102397,7.588264968856122e-07,-8.590612853827077e-09,7.138308504557107e-05,8.590612853827077e-09,2.8303396107431296e-05,-1.6066075908493603e-07,1.7775938515885493e-08,-2.4333087916092644e-12,4.9847535882928105e-05,0.0002112560015813713,3.6731901410128154e-07,0.0005719682589786008,-2.337300550352659e-06,-1.4232504789925894e-07,-5.945749352075934e-11,0.021479780325381035,0.00014890613741240781,-4.3631864968174725e-06,-4.1332192790490696e-08,0.00156594,12.024352048472036
