dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y,dU/dy
-5.102451449047284e-12,5.468110198039629,5.097595708901771e-12,-2.373219408371372e-24,6.044808151613019e-12,2.3708143603633206e-24,2.68783809449114e-27,-2.88047e-15,-2.88047e-15,6.263125192085273e-10,1.3540188257025345e-15,-9.924137010637056e-24,-1.6562690761453898e-09,-3.7122917032948406e-14,0.0,0.0,0.0,0.0,0.0,0.0,5.469500904379309e-38,0.0,3.389238950380697e-42,0.0,2.7347504521896543e-38,0.0002935153226864693,4.247701919022682e-73,0.0006622314047302822,1.3562281675105796e-42,-1.1976045214741455e-07,-8.410364247122234e-43,0.022123081376851088,1.2160196069427888e-22,0.0,-3.0203146291438008e-24,0.0,5.756126769356387
-5.0732587822607675e-12,5.468112670213639,5.0687058834313706e-12,-2.3117945368541456e-24,5.801986276090711e-12,2.3095761379837815e-24,2.6724599360675027e-27,-2.88047e-15,-2.88047e-15,0.00026327974176017124,1.4668525557390993e-15,-1.38697649960795e-19,-1.3830495962245272e-09,-3.20122460917539e-14,1.71697097736534e-05,0.00027714491959785555,9.590398533085019e-09,-2.625249547839285e-16,1.3251339185180867e-08,2.625249547839285e-16,5.867293492554215e-09,-3.820129118753658e-13,2.397171169320808e-12,-4.8821630134608e-17,9.559316470130016e-09,0.00029284735832725285,7.592879995348636e-11,0.0006620741647370714,-3.818130840062861e-08,-1.1980667344966095e-07,-4.869729778599345e-12,0.022122246700099567,2.300818975457789e-06,-9.339540709223202e-10,-2.3766051339527923e-10,4.814781378392752e-05,5.7561267606417195
-4.956507792997879e-12,5.468122557243258,4.953166055296881e-12,-2.0661364554110856e-24,4.83086245279567e-12,2.0646645272770005e-24,2.610957668318864e-27,-2.88047e-15,-2.88047e-15,0.0013162187351572917,1.918111418121464e-15,-6.933550681047965e-19,-2.903558454300112e-10,-1.1573007273834039e-14,8.583697529242519e-05,0.0013855377788869559,4.794553007270597e-08,-1.631010900616316e-13,3.310379631963752e-07,1.631010900616316e-13,1.4597629891104466e-07,-4.7814895863549556e-11,5.995939200063543e-11,-6.1302774415402e-15,2.385072126042551e-07,0.0002901907418268823,1.8977146457082436e-09,0.0006614548502361197,-1.9127958148650292e-07,-1.1999152959087954e-07,-2.4275453558775863e-11,0.0221189374347878,1.1499957770404445e-05,-2.3227853587958743e-08,-1.1894213029766907e-09,0.0002407066139520353,5.756126413568983
-4.86862e-12,5.46813,4.86619e-12,-1.8812100000000003e-24,4.09982e-12,1.8803e-24,2.56466e-27,-2.88047e-15,-2.88047e-15,0.00210885,2.25781e-15,-1.11089e-18,5.32202e-10,3.81324e-15,0.0001375283096078469,0.002219913513209727,7.6818506172496e-08,-3.4200125097031347e-12,1.0875587926125543e-06,3.4200125097031347e-12,4.760708265954031e-07,-3.84219487243403e-10,1.9742242793696732e-10,-4.956597945582664e-14,7.818165196102337e-07,0.00028821889202020274,6.239863386087055e-09,0.000661006488985448,-3.072474442440905e-07,-1.2013068265110895e-07,-3.872540851766196e-11,0.0221165027216152,1.841724877148259e-05,-7.570266533581912e-08,-1.9078360777553195e-09,0.000385661,5.75612616541786
-4.693891845954e-12,5.468144796811961,4.693274455419269e-12,-1.5135610116014786e-24,2.646447535528965e-12,1.5137681709045631e-24,2.4726164311942124e-27,-2.88047e-15,-2.88047e-15,0.0036846660834514862,2.933158693135497e-15,-1.940983752627648e-18,2.167514584667014e-09,3.440236383790549e-14,0.00024029492960166412,0.0038787210320481167,1.3422035509424947e-07,-9.89502002592363e-12,2.5915843633130045e-06,9.89502002592363e-12,1.1323258708467267e-06,-1.0530194566068307e-09,4.707102384443252e-10,-1.3591972408600024e-13,1.8619600645898785e-06,0.00028429869258152305,1.4872411867738697e-08,0.0006601151099781548,-5.378010842562156e-07,-1.2040733036877692e-07,-6.745310630016227e-11,0.022111662311772504,3.216939166175361e-05,-1.8002690284211623e-07,-3.3361036807371366e-09,0.0006738422300787139,5.756121467071214
-4.63245e-12,5.46815,4.63247e-12,-1.3842800000000002e-24,2.13538e-12,1.3848800000000002e-24,2.44025e-27,-2.88047e-15,-2.88047e-15,0.00423879,3.17064e-15,-2.23288e-18,2.74256e-09,4.51588e-14,0.0002764320413873873,0.00446202762137332,1.544052552907367e-07,-3.543781176834517e-11,3.8134620691541087e-06,3.543781176834517e-11,1.655079566940679e-06,-2.2864591425191354e-09,6.940218427514634e-10,-2.9698411759326826e-13,2.734288536953278e-06,0.0002829613921925779,2.1901263769801767e-08,0.0006598263736149732,-6.196798557215273e-07,-1.2050231059856434e-07,-7.729124756280676e-11,0.022110035873668405,3.698883964805268e-05,-2.6297982154342894e-07,-3.8400010770331114e-09,0.000775179,5.756119814932831
-3.70055e-12,5.46815,3.70607e-12,-1.2704700000000002e-24,9.88981e-13,1.26963e-24,1.9493399999999998e-27,-2.88046e-15,-2.88046e-15,0.00639003,4.14556e-15,-3.3661e-18,8.87071e-09,2.71865e-13,0.0004167240330876958,0.006726548473885861,2.327673520633931e-07,-1.3460038868867997e-10,8.557052480670493e-06,1.3460038868867997e-10,3.684521145686116e-06,-7.074935631866146e-09,1.5609652200696474e-09,-9.222705182088255e-13,6.12085411337265e-06,0.00027776970625544023,4.918876916187655e-08,0.0006587054373401756,-9.375507468695339e-07,-1.2087104415115266e-07,-1.1548501469476304e-10,0.022103721693322323,5.569896681325293e-05,-5.850207818439324e-07,-5.796238469720671e-09,0.00116859,5.7561198149328305
-3.233349507240706e-12,5.46815,3.2422188131401562e-12,-2.389546453573618e-24,3.0533429912600687e-12,2.395017542375888e-24,1.703235216925504e-27,-2.8804530799464887e-15,-2.8804530799464887e-15,0.007893591546712805,4.472899291243193e-15,-4.158127804577899e-18,1.775390657181748e-08,8.415272650737842e-13,0.000514778876869171,0.008309299105207333,2.8753728628633684e-07,-2.0390848582984105e-10,1.1872509130242884e-05,2.0390848582984105e-10,5.102966878444763e-06,-1.0421764687634376e-08,2.1669014278320477e-09,-1.359304447144803e-12,8.48783995858674e-06,0.00027414106040503426,6.826093462176838e-08,0.0006579219768590593,-1.1597215222390846e-06,-1.2112876457024308e-07,-1.4217993736397894e-10,0.02209930849795786,6.877611094728415e-05,-8.10106160351911e-07,-7.1635193074553105e-09,0.001443558326269967,5.756091054833874
-3.02541e-12,5.46815,3.03577e-12,-2.88762e-24,3.97214e-12,2.8959e-24,1.5937e-27,-2.88045e-15,-2.88045e-15,0.00856279,4.61859e-15,-4.51064e-18,2.17076e-08,1.09507e-12,0.0005584206884992567,0.009013737596104004,3.1191358750078163e-07,-4.0949528944699273e-10,1.4713124004322167e-05,4.0949528944699273e-10,6.27980714964878e-06,-1.5957455023695394e-08,2.6907253556072903e-09,-2.091957262574879e-12,1.0496670324630197e-05,0.0002726093729282321,8.465939267308626e-08,0.0006576196099821864,-1.2596901765528937e-06,-1.2123563365111746e-07,-1.5340350064356997e-10,0.022097493515278562,7.45473118889024e-05,-9.962833146159265e-07,-7.774201289273943e-09,0.00156594,5.756078254417578
-3.78586e-12,5.46815,3.80105e-12,-9.664820000000002e-24,1.22988e-11,9.699600000000001e-24,1.99427e-27,-2.88043e-15,-2.88043e-15,0.0107573,7.86572e-15,-5.6666200000000006e-18,4.44991e-08,3.39379e-12,0.00070153306235044,0.011323766921166867,3.918495526270722e-07,-1.0836656412076577e-09,2.4028207925957875e-05,1.0836656412076577e-09,1.0138959612961545e-05,-3.411036287302497e-08,4.408474527419533e-09,-4.494508387484378e-12,1.7084125602280314e-05,0.000267586588066291,1.3843402235883697e-07,0.000656628073657113,-1.5875123016017717e-06,-1.2158608399412487e-07,-1.9020836102897026e-10,0.022091541734863607,9.347251769217831e-05,-1.6068045901629117e-06,-9.776779661294603e-09,0.00196726,5.756078254417581
