dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y,dU/dy
-2.1362808920768745e-11,22.8938,2.134250992097926e-11,-9.933271899244708e-24,2.5307141352825798e-11,9.923204578787116e-24,3.3064944027233653e-28,-3.5434599009801854e-16,-3.5434599009801854e-16,1.414440412017548e-09,5.6683866602570365e-15,2.8891604493571113e-25,-2.2520473484845368e-07,-3.3606256069783675e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.9422121938703992e-38,0.0,2.8653637621503904e-42,0.0,9.711060969351997e-39,0.00022126132075753498,1.593938460573953e-73,0.0005294736952741474,1.2293216352794615e-43,-2.3754300638671768e-07,-2.0433631935706146e-45,0.022335304597988916,3.6293261390016753e-23,0.0,3.326590106168456e-25,0.0,25.200609475984923
-2.1333945474744368e-11,22.8938,2.1313944216813145e-11,-9.872579556668428e-24,2.5067095152908644e-11,9.862697011305229e-24,3.302026523426752e-28,-3.543459609076403e-16,-3.543459609076403e-16,0.00026030807210089026,5.779956080719366e-15,-4.028683853037385e-21,-2.164350315600401e-07,-3.251385841414662e-11,1.4366025798151599e-05,0.000286535408927609,3.795724628711339e-08,-5.017670551944205e-16,1.7291235642445666e-08,5.017670551944205e-16,7.216581609832322e-09,-5.260689585810283e-13,7.760346638701153e-12,-1.2097269182102447e-16,1.2253908877022522e-08,0.0002206369035080312,8.41068990413012e-11,0.0005293320750000774,-3.22192048392099e-08,-2.376512139892785e-07,-7.404127144511242e-12,0.022334529179354464,2.129893455003128e-06,-1.1086060558213873e-09,5.107441134835721e-09,1.137017775942883e-05,25.200609395021157
-2.1218496285201778e-11,22.8938,2.1199685947308312e-11,-9.629819847520916e-24,2.4106948564389413e-11,9.620676373122324e-24,3.284155717448406e-28,-3.543458441507738e-16,-3.543458441507738e-16,0.0013014932664835157,6.2262160026716585e-15,-2.0143933587489947e-20,-1.813576143895028e-07,-2.814444168216623e-11,7.182784217114558e-05,0.0014326314240160174,1.8978016657564424e-07,-3.1129214692478806e-13,4.320244184590365e-07,3.1129214692478806e-13,1.793876031575769e-07,-6.591685230992688e-11,1.9417263292204138e-10,-1.519495587233508e-14,3.0570616645438015e-07,0.00021816014055100238,2.1025510837634656e-09,0.0005287778104430933,-1.6160143962861994e-07,-2.3808327605983054e-07,-3.712689001047711e-11,0.022331462245827587,1.0646579329577821e-05,-2.7538360326380906e-08,2.5534052897759043e-08,5.684907886405188e-05,25.200607586240466
-2.095875283758137e-11,22.8938,2.0942621892048066e-11,-9.083646729743938e-24,2.1946762025955962e-11,9.0761660547218e-24,3.243949070914446e-28,-3.5434558146524833e-16,-3.5434558146524833e-16,0.0036440045744602217,7.230234230274195e-15,-5.640084055994054e-20,-1.0243866047052934e-07,-1.8313906097192e-11,0.00020110835380042784,0.004011175874779166,5.313585517700939e-07,-1.8818482001706618e-11,3.3827981489195056e-06,1.8818482001706618e-11,1.3885120130197636e-06,-1.454784795340207e-09,1.5252826574007497e-09,-3.37229161195008e-13,2.3856644902106347e-06,0.00021268375820276012,1.648308824742243e-08,0.000527587507732501,-4.5539363501061105e-07,-2.3905826310949237e-07,-1.0449922433029264e-10,0.022324764254036303,2.978074469658817e-05,-2.1282460613013666e-07,7.147637977284858e-08,0.0001591698193881275,25.20058268757072
-2.0497029586442476e-11,22.8938,2.048566156279592e-11,-8.112762459380386e-24,1.8106787001640454e-11,8.108237597646788e-24,3.1724772254256524e-28,-3.543451145121222e-16,-3.543451145121222e-16,0.0078080824245751685,9.014989782332758e-15,-1.2085157884391598e-19,3.784867425831867e-08,-8.390211970568523e-13,0.0004309190330888863,0.008594818529874967,1.138546750208823e-06,-3.852199784433971e-10,1.5500549965908887e-05,3.852199784433971e-10,6.2329757507346476e-06,-1.444763130510292e-08,7.02826407348792e-09,-3.3811829289476415e-12,1.0866955468310987e-05,0.00020333068030538672,7.568927791801531e-08,0.0005256822874036457,-9.850498948909775e-07,-2.407734150791927e-07,-2.25219947336471e-10,0.022313546778464376,6.363121792812608e-05,-9.526996900857713e-07,1.530797767704959e-07,0.0003410564671805227,25.200234404157612
-2.03838e-11,22.8938,2.03736e-11,-7.87467e-24,1.71651e-11,7.87087e-24,3.15495e-28,-3.54345e-16,-3.54345e-16,0.00882925,9.45267e-15,-1.36657e-19,7.22517e-08,3.44639e-12,0.0004872761000369144,0.009718859814815198,1.2874422466693533e-06,-9.770557500918975e-10,2.1220747005998674e-05,9.770557500918975e-10,8.429717609104524e-06,-2.6347475249407707e-08,9.652923656218148e-09,-6.209853123053636e-12,1.4825720835426645e-05,0.00020119022606149707,1.0374950875772227e-07,0.000525291599872303,-1.1167174395106839e-06,-2.411809478189062e-07,-2.5475797390328484e-10,0.022311071914755235,7.183137158806306e-05,-1.2862744763380394e-06,1.7305008253843527e-07,0.000385661,25.200158232559716
-1.977567313799295e-11,22.8938,1.977174629130249e-11,-6.5959368990529545e-24,1.210754234839288e-11,6.596029944195051e-24,3.060815799455098e-28,-3.543443849849697e-16,-3.543443849849697e-16,0.01431367728387032,1.1803337397939935e-14,-2.215438345486055e-19,2.5702146508666945e-07,2.6462226633829762e-11,0.0007899553497967625,0.01575579522060123,2.08712149901324e-06,-4.155652810666515e-09,5.1942447802982085e-05,4.155652810666515e-09,2.0227850720265552e-05,-9.025846338942258e-08,2.3749292335383043e-08,-2.1401910100745667e-11,3.6087227088029156e-05,0.00018969439918883055,2.5445376074590773e-07,0.0005231933180545781,-1.8238698124325414e-06,-2.433697008997365e-07,-4.13399085032694e-10,0.022297780061021413,0.00011587227882679656,-3.0778184921887623e-06,2.80305436563316e-07,0.0006252204245906778,25.199040049592867
-1.9395e-11,22.8938,1.9395e-11,-5.79548e-24,8.94163e-12,5.79801e-24,3.0018900000000003e-28,-3.54344e-16,-3.54344e-16,0.0177468,1.32748e-14,-2.74681e-19,3.72683e-07,4.08696e-11,0.0009794254538325507,0.01953450240367336,2.5876118585508463e-06,-1.3318357742324412e-08,8.482008082925154e-05,1.3318357742324412e-08,3.212494181358641e-05,-2.0974819010150714e-07,3.9049983255599564e-08,-5.029856127814965e-11,5.847917050029014e-05,0.00018318341985783,4.1661501551528614e-07,0.0005221587358285015,-2.2663841309468497e-06,-2.4465567167895973e-07,-5.092176789382513e-10,0.0222908357789841,0.00014271375942442058,-4.867989272027141e-06,3.4712186302475547e-07,0.000775179,25.198340093308353
-1.68245734643702e-11,22.8938,1.6839791664891265e-11,-5.480397369557971e-24,5.776771328865477e-12,5.478954826305069e-24,2.604029581875196e-28,-3.5434070601720323e-16,-3.5434070601720323e-16,0.023680382971129746,1.596387579596938e-14,-3.6651855796700554e-19,9.216891363476147e-07,1.761517605922001e-10,0.0013068922032263546,0.02606535308562538,3.452624056516173e-06,-2.915452997062403e-08,0.00014164346027301453,2.915452997062403e-08,5.2687034009597864e-05,-4.1626579662041966e-07,6.549461706535454e-08,-1.0024149279015093e-10,9.71798244062915e-05,0.00017193030292023505,6.968830781058812e-07,0.000520370636960461,-3.031194633276673e-06,-2.4687825277179584e-07,-6.748237709252543e-10,0.02227883377224428,0.00018910467922124798,-7.961994044530546e-06,4.6260265663483814e-07,0.001034356813211845,25.193885290419203
-1.54933e-11,22.8938,1.55164e-11,-5.31721e-24,4.13763e-12,5.31371e-24,2.39797e-28,-3.54339e-16,-3.54339e-16,0.0267535,1.73566e-14,-4.14083e-19,1.20603e-06,2.46217e-10,0.0014764935467733008,0.02944689888912469,3.90035860851462e-06,-5.815677851875947e-08,0.0001879352392100712,5.815677851875947e-08,6.811766132012293e-05,-6.890555946307336e-07,8.742321466061391e-08,-1.6739058631165668e-10,0.00012805552865435645,0.00016683120700360614,9.266708133066966e-07,0.000519618328720304,-3.4118528460956696e-06,-2.478847672286634e-07,-7.513398476209255e-10,0.022274331726216717,0.0002119095555939944,-1.025275302398209e-05,5.218463541463286e-07,0.00116859,25.191578062107855
-1.26666e-11,22.8936,1.27099e-11,-1.20891e-23,1.66282e-11,1.2123700000000001e-23,1.96044e-28,-3.54331e-16,-3.54331e-16,0.0358503,1.93353e-14,-5.54877e-19,2.95202e-06,9.92121e-10,0.00197853849907511,0.03945677243210325,5.225718815579908e-06,-1.4400770507679994e-07,0.00032496572176628663,1.4400770507679994e-07,0.0001137945904651753,-1.4965535676205482e-06,1.523350927360974e-07,-3.6616179147479584e-10,0.0002194521599682694,0.00015173713220025583,1.6068763479196996e-06,0.0005173913855449317,-4.538657211564071e-06,-2.508641982397701e-07,-9.778387023565106e-10,0.02226100500700624,0.0002794153478911822,-1.7033736939096834e-05,6.972164229754475e-07,0.00156594,25.191578062107737
-1.286650765891455e-11,22.89357488202809,1.291107611649585e-11,-1.3870987765558956e-23,1.8817608021270518e-11,1.391255800276314e-23,1.9913765500992123e-28,-3.5433005807605347e-16,-3.5433005807605347e-16,0.03642723469673106,2.0189028467652823e-14,-5.638063134230662e-19,3.146670467394422e-06,1.122909588975334e-09,0.0020103793576790514,0.04009162189461455,5.309776242626973e-06,-1.4945257052364668e-07,0.00033365651369537144,1.4945257052364668e-07,0.00011669152755358077,-1.547766967263458e-06,1.5645195502510465e-07,-3.7876832363713847e-10,0.00022524874690973797,0.00015077983086823912,1.6500165650455377e-06,0.0005172501476290021,-4.610121765307089e-06,-2.510531606844872e-07,-9.922037865477264e-10,0.022260159795476697,0.0002836967222534318,-1.7463802711189235e-05,7.083388006417299e-07,0.001591140861214257,25.190270654585053
-1.58501e-11,22.8932,1.59136e-11,-4.04654e-23,5.14942e-11,4.0611e-23,2.4531e-28,-3.54316e-16,-3.54316e-16,0.0450379,3.29308e-14,-6.97075e-19,6.0518e-06,3.07491e-09,0.0024855994787095935,0.04955882563718745,6.562091345756184e-06,-3.8120035491707205e-07,0.0005247510107361455,3.8120035491707205e-07,0.00017398483356382072,-3.2641241049304775e-06,2.488469556220867e-07,-8.077099205694866e-10,0.0003495585223274417,0.00013875212971111383,2.604183399455521e-06,0.0005150391981083548,-5.553088175677431e-06,-2.530893025828491e-07,-1.1526478726968631e-09,0.022253873741365855,0.0003419772720019095,-2.5813732981245657e-05,8.716740127187307e-07,0.00196726,25.170757790036077
-2.1087991335340063e-11,22.892278396546775,2.1162131666118208e-11,-3.407273953776861e-23,3.871708972448414e-11,3.419404271945631e-23,3.2637005063909374e-28,-3.5429421664565103e-16,-3.5429421664565103e-16,0.052812127820748254,4.989793848453873e-14,-8.173953577464924e-19,1.019784258966439e-05,7.152251241333046e-09,0.002914670856117238,0.05810666688013745,7.692793819133806e-06,-5.904430545848036e-07,0.0006972882738522338,5.904430545848036e-07,0.00022571437244096643,-4.813805375970133e-06,3.322694548330982e-07,-1.1949968928131735e-09,0.0004617965446738925,0.00012789244159154537,3.465690856313963e-06,0.0005130429544431124,-6.404482884448067e-06,-2.549277142372904e-07,-1.297511193912373e-09,0.02224819812752621,0.00039459818313342045,-3.33527994552442e-05,1.0191477019073756e-06,0.002306854116087109,25.125354418366783
-2.21019e-11,22.8921,2.21781e-11,-3.2835300000000004e-23,3.62438e-11,3.29519e-23,3.4206100000000002e-28,-3.5429e-16,-3.5429e-16,0.054317,5.31823e-14,-8.40686e-19,1.10004e-05,7.94151e-09,0.002997727024994965,0.05975772652075514,7.910679036886563e-06,-6.864741536687102e-07,0.0007437367686071569,6.864741536687102e-07,0.0002379792175729183,-5.414284939046622e-06,3.5522810527007385e-07,-1.3463527821266414e-09,0.0004912012301668719,0.00012620377048244903,3.6982644420136654e-06,0.0005124692071354545,-6.527991732038942e-06,-2.550404888358088e-07,-1.3098014148410452e-09,0.022248478358802438,0.0004033819896920101,-3.509933185924625e-05,1.0470134365672744e-06,0.00237259,25.116565600693335
-1.96982e-11,22.8898,1.97742e-11,1.9648600000000001e-23,-2.957799999999999e-11,-1.9748700000000008e-23,3.04853e-28,-3.54244e-16,-3.54244e-16,0.0636882,5.39538e-14,-9.85718e-19,1.83433e-05,1.79552e-08,0.0035149843120789903,0.07004019731202295,9.267624802064129e-06,-1.2845367233613466e-06,0.001033008748168824,1.2845367233613466e-06,0.0003143622316847147,-9.153952129855856e-06,4.98210010173771e-07,-2.288967132732327e-09,0.0006743277582884499,0.00011568706295222025,5.146686438982195e-06,0.0005088960231102222,-7.297180249869341e-06,-2.557428265871142e-07,-1.3863424643636557e-09,0.022250223583409546,0.0004580857884845571,-4.5976388016609066e-05,1.2205556852351858e-06,0.00278198,25.116565600693235
-9.993782047026069e-12,22.885646397915504,1.0073510629362384e-11,2.779661495421529e-23,-1.0138122263925443e-10,-2.8152885947891536e-23,1.546616464866081e-28,-3.5416865559009526e-16,-3.5416865559009526e-16,0.0728296020201906,2.882566653357768e-14,-1.1271838912740347e-18,2.832199092410679e-05,3.605756383819898e-08,0.004019622751169538,0.08007182014202983,1.0591466940142116e-05,-1.8680091445031823e-06,0.0013152237384332708,1.8680091445031823e-06,0.0003888818295268359,-1.280238756230157e-05,6.377037729693714e-07,-3.208585756639179e-09,0.0008529867885523047,0.00010542691774992687,6.559773183134486e-06,0.0005054100093717949,-8.04760388371029e-06,-2.564280303249506e-07,-1.4610162422338316e-09,0.022251926232059616,0.0005114550504056751,-5.658809089293828e-05,1.3898642511477861e-06,0.00318138264881318,24.998886345473693
