dxdx,dxdy,dxdz,dydx,dydy,dydz,dzdx,dzdy,dzdz,xvel,yvel,zvel,RANS_k,t_visc,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',DNS_k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p',y
-1.026434410240322e-11,30.91357766824155,1.0364704096333288e-11,-3.7058325651925895e-25,8.337869558207863e-12,3.7756215043533506e-25,-3.0705829050335244e-31,9.203608460453955e-19,9.203608460453955e-19,0.0034840040681468343,6.906647668887285e-14,9.247091253484329e-23,-0.0004759919224684397,-5.011752289032147e-06,0.0,0.0,0.00295387902016,0.0,0.0,4.3079280907888855e-37,0.0,8.708563851803e-37,0.0,-1.6355735984015804e-39,0.0,6.508245971295942e-37,0.0002006118746746277,8.777133283509056e-72,0.0004835703742488468,5.771352076595055e-42,-2.806348037113247e-07,-3.423981895893715e-42,0.014887951472805515,-5.0614496686610665e-21,0.0,3.4200346831680497e-23,0.0
-1.025791019697842e-11,30.911283328499408,1.0358244850678715e-11,-3.6954612741004047e-25,8.321971713538448e-12,3.7649548930880973e-25,-3.0686570969488104e-31,9.202968028451361e-19,9.202968028451361e-19,0.0036249887897494837,6.90063598363075e-14,9.669382152324439e-23,-0.0004751309111590298,-5.004154817588025e-06,7.962979378921692e-06,0.00014651367499463923,0.0029538643687102265,7.959719805015119e-08,-2.1841866158226043e-17,3.513983817998548e-09,2.1841853162578227e-17,1.4569048986039234e-09,-5.6437428520225456e-14,2.0396610354705948e-12,-7.237345079066168e-17,2.4854443692221622e-09,0.00020034304136912006,1.89974492198792e-11,0.0004835132023094924,-1.5533363109996318e-08,-2.807003242060914e-07,-1.9901239788876588e-11,0.01488762662888456,8.005446331444082e-07,-2.189890783502479e-10,1.051814489482797e-09,4.960055044689327e-06
-1.0232175022054853e-11,30.902106128851653,1.0332408316595707e-11,-3.6539768299225673e-25,8.258381438820076e-12,3.722289188725261e-25,-3.0609539983396374e-31,9.20040634491311e-19,9.20040634491311e-19,0.004188917886066165,6.876589660060927e-14,1.1358516423461026e-22,-0.000471686925710717,-4.973765459386142e-06,3.9814343938834826e-05,0.0007325509335716939,0.0029538057572489405,3.9798049586841875e-07,-1.3605882446527663e-14,8.782649272656212e-08,1.3605874337222755e-14,3.632413658903124e-08,-7.06115074704467e-12,5.101390455527335e-11,-9.042839594592103e-15,6.207532146073386e-08,0.00019927252288295342,4.749236015248283e-10,0.0004832872405518838,-7.776322864238977e-08,-2.8096235386961607e-07,-9.913436470450806e-11,0.014886333829753275,4.001612192713289e-06,-5.458806927211115e-09,5.2580536747531395e-09,2.479993079318454e-05
-1.017427255385348e-11,30.881458027085884,1.027427779688414e-11,-3.560639531186773e-25,8.115307460472047e-12,3.626294131474025e-25,-3.0436225279457355e-31,9.194642723719315e-19,9.194642723719315e-19,0.005457721640627147,6.822486997460156e-14,1.5158958569776845e-22,-0.00046393818265770927,-4.905391381798921e-06,0.00011147784065405702,0.002051054079226208,0.002953673753416,1.1143228090298631e-06,-8.301051795180871e-13,6.881724784384424e-07,8.301046828114351e-13,2.830609099791693e-07,-1.5533009520723718e-10,4.003521809655232e-10,-1.9831922988137042e-13,4.856171092611471e-07,0.0001968911186058444,3.7232766569330844e-09,0.000482794195406223,-2.1832369017331168e-07,-2.815532260394098e-07,-2.7524141974965424e-10,0.014883463423783367,1.1197158050069273e-05,-4.2518546955481586e-08,1.4716776262709504e-08,6.94383596384629e-05
-1.0071339002316598e-11,30.844751777537866,1.0170938836862837e-11,-3.3947132771224187e-25,7.86096402432256e-12,3.455643164774444e-25,-3.012812273108302e-31,9.184396701095073e-19,9.184396701095073e-19,0.007713281389929799,6.726308382245838e-14,2.1915026483328504e-22,-0.0004501631974598605,-4.783842389886619e-06,0.0002388744519141384,0.004394818908189165,0.0029534379764193062,2.387773505608687e-06,-1.7274168495786492e-11,3.1569617759722426e-06,1.727415808488702e-11,1.285916463523573e-06,-1.534066475075558e-09,1.8416898658108434e-09,-1.9479615515447224e-12,2.2214477568269494e-06,0.00019274634931264322,1.709628573772145e-08,0.0004819670170197084,-4.699080577619059e-07,-2.826148132914046e-07,-5.80944110880562e-10,0.014878491436947191,2.396230214951997e-05,-1.929907761247898e-07,3.151798631522777e-08,0.0001487923519430945
-9.91051370438001e-12,30.787401249633664,1.0009480121159934e-11,-3.1354670075925026e-25,7.463573102837639e-12,3.1890149162310794e-25,-2.9646737571458277e-31,9.16838812452693e-19,9.16838812452693e-19,0.01123740994936652,6.576037122622305e-14,3.2470832815216834e-22,-0.00042864090404397313,-4.593931981216967e-06,0.0004379212899577392,0.008056383340006678,0.002953063780200936,4.377458531415834e-06,-1.9119682102270064e-10,1.059595667708805e-05,1.9119670443774236e-10,4.25079025710768e-06,-9.507204950795012e-09,6.20798528107388e-09,-1.1968210270327002e-11,7.423469065450084e-06,0.00018648300366526222,5.7463780446172706e-08,0.0004807890748598735,-8.666578352543191e-07,-2.843210511941365e-07,-1.039818798688787e-09,0.014871057303628612,4.382134571691159e-05,-6.370627830164779e-07,5.7750209741139953e-08,0.0002727765073938793
-9.678940017026873e-12,30.70482174635389,9.776994370284067e-12,-2.7621761426736084e-25,6.891366601810613e-12,2.805094678184695e-25,-2.8953587066645685e-31,9.145337241657613e-19,9.145337241657613e-19,0.01631183204393674,6.359660283028678e-14,4.767022635978716e-22,-0.00039765077431588576,-4.3204784004270045e-06,0.000724530491576714,0.013327869074434376,0.0029525025614069752,7.242488312008568e-06,-1.391440055587682e-09,2.895187717773497e-05,1.3914391921673598e-09,1.1363198721565177e-05,-4.340871048407421e-08,1.7067040517042972e-08,-5.3958435256531916e-11,2.0158233669246152e-05,0.00017788497479587204,1.5732687625133137e-07,0.0004793059257478242,-1.443477250794696e-06,-2.8690967789440524e-07,-1.660743667199762e-09,0.014861066441670205,7.217305069820948e-05,-1.6993766937450644e-06,9.553818927197576e-08,0.000451302326524794
-9.363766210063172e-12,30.592430322598705,9.460579236916073e-12,-2.2541240217871443e-25,6.112588566363733e-12,2.2825758878224366e-25,-2.8010203187857026e-31,9.113964789153032e-19,9.113964789153032e-19,0.02321816474505889,6.065169518326634e-14,6.835673345710061e-22,-0.000355472937635306,-3.9483056934561986e-06,0.0011146081131647326,0.020500725397000895,0.002951668580022617,1.1141944294151228e-05,-7.491653022980709e-09,6.836362767731458e-05,7.491648259015236e-09,2.6046438924331225e-05,-1.5972700827246523e-07,4.063949220615218e-08,-1.951132077085352e-10,4.7208779124952413e-05,0.00016691217978123053,3.724699623461116e-07,0.00047761746575121267,-2.232799315703061e-06,-2.9070895588074243e-07,-2.4316395487292086e-09,0.014848817264427943,0.00011014248553317901,-3.883447731506436e-06,1.471427049144574e-07,0.000694277522454545
-8.95858026397611e-12,30.447940443173025,9.053797447512041e-12,-1.6009746333716646e-25,5.111395230774431e-12,1.6108282179864645e-25,-2.67973933635486e-31,9.07363251353787e-19,9.07363251353787e-19,0.03209691319327139,5.68657359292525e-14,9.495120851900512e-22,-0.00030124931155430196,-3.4698422328199653e-06,0.0016160900468101104,0.02971888987649352,0.002950412641876282,1.6155129080762738e-05,-3.148017705826715e-08,0.00014333764076528545,3.148015639348075e-08,5.257479328524906e-05,-4.930773277212953e-07,8.614161451710552e-08,-5.888632520578845e-10,9.797195710346399e-05,0.00015391876134926877,7.834343548240377e-07,0.00047585675102147665,-3.2408895645916305e-06,-2.960617290910729e-07,-3.3008357427153506e-09,0.014835346308375434,0.00015759760565614838,-7.80676776656884e-06,2.1408724492642277e-07,0.001006645277842999
-8.463410315189842e-12,30.271362141565362,8.556677249312715e-12,-8.027733326237272e-26,3.887856118679002e-12,7.898983153523239e-26,-2.5315241812168664e-31,9.024343215516404e-19,9.024343215516404e-19,0.04294746084144399,5.223898796817164e-14,1.2745180480467052e-21,-0.00023498366140322954,-2.885121243389503e-06,0.002228941469221157,0.04097820985066766,0.002948466589228788,2.2281081255171552e-05,-1.0715056820441144e-07,0.0002718496719861678,1.0715049509949896e-07,9.522178600550553e-05,-1.3117085506856124e-06,1.6560847474223825e-07,-1.5240121396889232e-09,0.00018358930424338643,0.00013954928716755852,1.4910751641359629e-06,0.0004740670163832432,-4.436843072982776e-06,-3.032512155651122e-07,-4.18544429950137e-09,0.014822351687513,0.00021301575527252445,-1.4066374572412296e-05,2.973577517549952e-07,0.00138838390163265
