u'u',v'v',w'w',u'w',u'v',v'w',k
6.234284400939941406e+00,1.184531211853027344e+00,1.693131923675537109e+00,1.707354933023452759e-02,-9.839087128639221191e-01,-6.521105766296386719e-03,4.555974006652832031e+00
6.226497173309326172e+00,1.185043573379516602e+00,1.692392468452453613e+00,1.698306202888488770e-02,-9.839525818824768066e-01,-6.506662815809249878e-03,4.551966667175292969e+00
6.219075202941894531e+00,1.185530900955200195e+00,1.691688418388366699e+00,1.689667254686355591e-02,-9.839935898780822754e-01,-6.492879241704940796e-03,4.548147201538085938e+00
6.212035179138183594e+00,1.185992717742919922e+00,1.691020727157592773e+00,1.681423932313919067e-02,-9.840318560600280762e-01,-6.480064243078231812e-03,4.544524192810058594e+00
6.205397605895996094e+00,1.186427116394042969e+00,1.690391898155212402e+00,1.673635840415954590e-02,-9.840676188468933105e-01,-6.468120962381362915e-03,4.541108131408691406e+00
6.199153900146484375e+00,1.186835765838623047e+00,1.689801096916198730e+00,1.666276901960372925e-02,-9.841009974479675293e-01,-6.457019597291946411e-03,4.537895202636718750e+00
6.192762851715087891e+00,1.187285423278808594e+00,1.689230561256408691e+00,1.659318804740905762e-02,-9.841460585594177246e-01,-6.446052342653274536e-03,4.534639358520507812e+00
6.161996841430664062e+00,1.190989375114440918e+00,1.688267230987548828e+00,1.662208139896392822e-02,-9.849001765251159668e-01,-6.371341645717620850e-03,4.520627021789550781e+00
6.263745784759521484e+00,1.185417771339416504e+00,1.724056005477905273e+00,3.195666521787643433e-02,-9.840506911277770996e-01,-7.300525903701782227e-04,4.586609840393066406e+00
6.134582042694091797e+00,1.215580344200134277e+00,1.742803692817687988e+00,3.509789705276489258e-02,-9.962150454521179199e-01,-1.282580196857452393e-03,4.546483039855957031e+00
6.267996788024902344e+00,1.217797875404357910e+00,1.760268688201904297e+00,3.518572449684143066e-02,-1.001476526260375977e+00,-2.460863441228866577e-03,4.623031616210937500e+00
6.266828060150146484e+00,1.218074321746826172e+00,1.760250568389892578e+00,3.515191376209259033e-02,-1.001578211784362793e+00,-2.487316727638244629e-03,4.622576713562011719e+00
6.263679981231689453e+00,1.218307495117187500e+00,1.759967446327209473e+00,3.512044250965118408e-02,-1.001596212387084961e+00,-2.492535859346389771e-03,4.620977401733398438e+00
6.261621475219726562e+00,1.218463420867919922e+00,1.759775996208190918e+00,3.510033339262008667e-02,-1.001608490943908691e+00,-2.496961504220962524e-03,4.619930267333984375e+00
6.260111808776855469e+00,1.218580842018127441e+00,1.759632945060729980e+00,3.508584946393966675e-02,-1.001618623733520508e+00,-2.500753849744796753e-03,4.619162559509277344e+00
6.259153366088867188e+00,1.218660593032836914e+00,1.759536623954772949e+00,3.507725894451141357e-02,-1.001625895500183105e+00,-2.504196017980575562e-03,4.618675231933593750e+00
6.258740901947021484e+00,1.218702673912048340e+00,1.759487390518188477e+00,3.507433086633682251e-02,-1.001630783081054688e+00,-2.506945282220840454e-03,4.618465423583984375e+00
6.258864879608154297e+00,1.218708634376525879e+00,1.759484052658081055e+00,3.507688641548156738e-02,-1.001634120941162109e+00,-2.509411424398422241e-03,4.618528842926025391e+00
6.259512901306152344e+00,1.218678116798400879e+00,1.759525537490844727e+00,3.508487343788146973e-02,-1.001634478569030762e+00,-2.511851489543914795e-03,4.618858337402343750e+00
6.260676383972167969e+00,1.218612194061279297e+00,1.759611129760742188e+00,3.509812802076339722e-02,-1.001633286476135254e+00,-2.513304352760314941e-03,4.619449615478515625e+00
6.262344837188720703e+00,1.218511700630187988e+00,1.759740471839904785e+00,3.511683642864227295e-02,-1.001629471778869629e+00,-2.514615654945373535e-03,4.620298385620117188e+00
6.264513969421386719e+00,1.218376636505126953e+00,1.759912729263305664e+00,3.514079749584197998e-02,-1.001623749732971191e+00,-2.515647560358047485e-03,4.621401786804199219e+00
6.267169952392578125e+00,1.218207836151123047e+00,1.760126948356628418e+00,3.516957908868789673e-02,-1.001616239547729492e+00,-2.516344189643859863e-03,4.622752189636230469e+00
6.270309448242187500e+00,1.218006253242492676e+00,1.760382056236267090e+00,3.520338237285614014e-02,-1.001606106758117676e+00,-2.516526728868484497e-03,4.624348640441894531e+00
6.273916244506835938e+00,1.217771410942077637e+00,1.760678052902221680e+00,3.524196147918701172e-02,-1.001593828201293945e+00,-2.516523003578186035e-03,4.626183032989501953e+00
6.277973175048828125e+00,1.217506051063537598e+00,1.761012673377990723e+00,3.528522700071334839e-02,-1.001579523086547852e+00,-2.515945583581924438e-03,4.628245830535888672e+00
6.282505035400390625e+00,1.217207670211791992e+00,1.761389136314392090e+00,3.533310443162918091e-02,-1.001562952995300293e+00,-2.515267580747604370e-03,4.630550861358642578e+00
6.288765430450439453e+00,1.216808080673217773e+00,1.761966705322265625e+00,3.539096564054489136e-02,-1.001553177833557129e+00,-2.507917582988739014e-03,4.633769989013671875e+00
6.330385684967041016e+00,1.214835405349731445e+00,1.769230604171752930e+00,3.521989285945892334e-02,-1.002164363861083984e+00,-2.179574221372604370e-03,4.657226085662841797e+00
6.223892688751220703e+00,1.250013828277587891e+00,1.862932443618774414e+00,2.006398886442184448e-02,-1.021809697151184082e+00,2.213791012763977051e-03,4.668419361114501953e+00
6.325894355773925781e+00,1.268511652946472168e+00,1.927591681480407715e+00,1.661410182714462280e-02,-1.034025192260742188e+00,2.229455858469009399e-03,4.760998725891113281e+00
6.338800430297851562e+00,1.267892241477966309e+00,1.929323077201843262e+00,1.667278259992599487e-02,-1.034101009368896484e+00,2.253662794828414917e-03,4.768007755279541016e+00
6.346004962921142578e+00,1.267361164093017578e+00,1.929803729057312012e+00,1.674606651067733765e-02,-1.034046769142150879e+00,2.262327820062637329e-03,4.771584987640380859e+00
6.355050086975097656e+00,1.266698122024536133e+00,1.930428981781005859e+00,1.684385538101196289e-02,-1.033984899520874023e+00,2.254653722047805786e-03,4.776088714599609375e+00
6.416749954223632812e+00,1.262247204780578613e+00,1.936070442199707031e+00,1.766756176948547363e-02,-1.033764719963073730e+00,1.778632402420043945e-03,4.807533740997314453e+00
6.638420104980468750e+00,1.233941197395324707e+00,1.990039110183715820e+00,2.436822652816772461e-02,-1.030390739440917969e+00,1.902256160974502563e-03,4.931200027465820312e+00
6.365277290344238281e+00,1.223969697952270508e+00,2.015312433242797852e+00,2.662161737680435181e-02,-1.022195458412170410e+00,7.267467677593231201e-03,4.802279472351074219e+00
6.364625453948974609e+00,1.222476363182067871e+00,2.016828060150146484e+00,2.673820406198501587e-02,-1.021542906761169434e+00,7.444638758897781372e-03,4.801964759826660156e+00
6.376761913299560547e+00,1.221198439598083496e+00,2.031129360198974609e+00,2.408103644847869873e-02,-1.020552158355712891e+00,6.243422627449035645e-03,4.814544677734375000e+00
6.449682235717773438e+00,1.208988785743713379e+00,2.062845706939697266e+00,1.840583980083465576e-02,-1.014448046684265137e+00,3.972657024860382080e-03,4.860758304595947266e+00
6.465149402618408203e+00,1.207287311553955078e+00,2.065188646316528320e+00,1.818832755088806152e-02,-1.013908386230468750e+00,3.903865814208984375e-03,4.868812561035156250e+00
6.474871635437011719e+00,1.206641077995300293e+00,2.065851688385009766e+00,1.826405525207519531e-02,-1.013867020606994629e+00,3.939025104045867920e-03,4.873682022094726562e+00
6.484549522399902344e+00,1.206007480621337891e+00,2.066488981246948242e+00,1.834540069103240967e-02,-1.013832569122314453e+00,3.976590931415557861e-03,4.878522872924804688e+00
6.494260787963867188e+00,1.205368876457214355e+00,2.067127227783203125e+00,1.842723041772842407e-02,-1.013796329498291016e+00,4.014082252979278564e-03,4.883378505706787109e+00
6.503981113433837891e+00,1.204726338386535645e+00,2.067766189575195312e+00,1.850863546133041382e-02,-1.013758301734924316e+00,4.051905125379562378e-03,4.888236999511718750e+00
