y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.835759083069221e-34,-0.000000000000000e+00,3.147916573873454e-34,0.000000000000000e+00,-3.186098670156186e-36,0.000000000000000e+00,2.491837828471337e-34,8.352728478163511e-02,3.205644146617347e-69,1.870127660780114e-01,9.890615487950734e-40,-5.825444331964951e-05,6.037999832447939e-40,7.912808590635581e+00,7.327507487703678e-19,0.000000000000000e+00,-1.113604260731481e-20
1.217311652923492e-06,2.428240184538776e-03,2.428238706568825e-03,9.999987826757017e-01,9.857584003334547e-07,-6.103634818028283e-15,1.102623708500639e-06,6.103634818028283e-15,4.922082632984095e-07,-1.525932999220447e-11,3.435790557915337e-10,-4.940950858299353e-15,7.974159889513418e-07,8.342628274882892e-02,5.691203058155641e-09,1.869893535508629e-01,-5.176262583747412e-06,-5.828512015117310e-05,-1.674706638132832e-09,7.912684206104647e+00,3.313447637877994e-04,-7.552911040128422e-08,1.470046288983724e-07
6.086537518545931e-06,1.214115953933537e-02,1.214112258503029e-02,9.999939116279885e-01,4.928775188381281e-06,-3.802941497507657e-12,2.755853126213219e-05,3.802941497507657e-12,1.227539732737579e-05,-1.909377764792869e-09,8.598458061369693e-09,-6.189645795409926e-13,1.991696619622474e-05,8.302381192684781e-02,1.422792568838391e-07,1.868966131911540e-01,-2.591582751949854e-05,-5.840772805466443e-05,-8.366901059718264e-09,7.912188996371063e+00,1.656433981367810e-03,-1.883184221007212e-06,7.348223082267587e-07
1.704221791976046e-05,3.399507290269083e-02,3.399478287675957e-02,9.999829163467929e-01,1.380049960852801e-05,-2.321251044048485e-10,2.159370200458166e-04,2.321251044048485e-10,9.571659644372876e-05,-4.201143911923691e-08,6.757046233247264e-08,-1.365309616774351e-11,1.558269243073249e-04,8.212712657125716e-02,1.115466189806931e-06,1.866931655697180e-01,-7.277461690460310e-05,-5.868293805041635e-05,-2.337830274425001e-08,7.911088380802935e+00,4.635993467706913e-03,-1.467568921186553e-05,2.056318910589611e-06
3.651878945154508e-05,7.284608820098583e-02,7.284475059135002e-02,9.999630687193455e-01,2.957229284210322e-05,-4.834113562422494e-09,9.905814916025863e-04,4.834113562422494e-09,4.352951774346481e-04,-4.150592049205752e-07,3.115641406081155e-07,-1.354510414447364e-10,7.129407515753984e-04,8.056261612597553e-02,5.122117976815161e-06,1.863486212977105e-01,-1.566943993200527e-04,-5.916968158115652e-05,-4.985953172864380e-08,7.909178172754729e+00,9.925059633533250e-03,-6.667296817517297e-05,4.402167866366156e-06
6.695054349292739e-05,1.335500236901577e-01,1.335454677561239e-01,9.999304842942871e-01,5.421536806524206e-05,-5.356674623890733e-08,3.324593183042168e-03,5.356674623890733e-08,1.441287435026594e-03,-2.573580648528866e-06,1.053949416255323e-06,-8.446471869384042e-10,2.382967092407500e-03,7.819089593864771e-02,1.721712611798373e-05,1.858512278752344e-01,-2.891759279936672e-04,-5.992312180459863e-05,-9.051500491875155e-08,7.906312201725624e+00,1.816241247757995e-02,-2.203951716715709e-04,8.058343079643591e-06
1.107715847206148e-04,2.209623252004996e-01,2.209494420224581e-01,9.998774927864810e-01,8.970062318606137e-05,-3.904510186719539e-07,9.083081461440570e-03,3.904510186719539e-07,3.861761865596018e-03,-1.175845273076402e-05,2.911563738668383e-06,-3.883923434055195e-09,6.472616889027630e-03,7.492276109360532e-02,4.713983522916107e-05,1.852134991964956e-01,-4.821414706435053e-04,-6.099224249072696e-05,-1.469416572371491e-07,7.902438833985999e+00,2.994594792140327e-02,-5.890785722085282e-04,1.329919897268583e-05
1.704157896263991e-04,3.399379833889890e-01,3.399053677350165e-01,9.997863359071852e-01,1.379980813544055e-04,-2.106628516994868e-06,2.144450099811426e-02,2.106628516994868e-06,8.879286085415846e-03,-4.330240822571928e-05,6.975001946210568e-06,-1.438589826567062e-08,1.516294685602355e-02,7.073257227322369e-02,1.116076523925629e-04,1.844711003862891e-01,-7.470302575235117e-04,-6.241712241344483e-05,-2.183809198379443e-07,7.897646342287002e+00,4.578387342108427e-02,-1.349778430727186e-03,2.037329855414627e-05
2.470994533848581e-04,4.929032108135004e-01,4.928259862077134e-01,9.996192073674874e-01,2.000895418771485e-04,-8.875385937488031e-06,4.495355231901529e-02,8.875385937488031e-06,1.799329919628759e-02,-1.338074861278714e-04,1.488686534858353e-05,-4.460554583620362e-08,3.147786345062019e-02,6.574191027097377e-02,2.347607786805682e-04,1.836803190225258e-01,-1.087112145753607e-03,-6.419524153853436e-05,-2.985965692963607e-07,7.892295068124824e+00,6.570114281729092e-02,-2.722630546825438e-03,2.934347908505560e-05
3.408212691252688e-04,6.798554005853233e-01,6.796796818649098e-01,9.993030208721148e-01,2.759650252912487e-04,-3.030444503597947e-05,8.523879548013261e-02,3.030444503597947e-05,3.274318867058773e-02,-3.563765352684537e-04,2.882458763746130e-05,-1.187614365945315e-07,5.900614429787816e-02,6.018353078907696e-02,4.468457161560659e-04,1.828760341483055e-01,-1.493996063233522e-03,-6.627362918690388e-05,-3.750547415061761e-07,7.886991253013068e+00,8.919015880218140e-02,-4.925690901306600e-03,4.008810113852612e-05
