y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.458396928712247e-34,0.000000000000000e+00,2.948178917405795e-34,0.000000000000000e+00,-5.537036511105955e-37,0.000000000000000e+00,2.203287923059021e-34,6.791472274438692e-02,2.971392268811887e-69,1.637068989449181e-01,1.953821411508737e-39,-9.500551708313493e-05,-1.159147640280898e-39,5.040135825196759e+00,-1.713492541203298e-18,0.000000000000000e+00,1.157811359174351e-20
4.960055044689327e-06,2.695770315769523e-03,2.695763630176473e-03,9.999950399289634e-01,1.464540641516243e-06,-7.394299498780067e-15,1.189616701975902e-06,7.394295099260748e-15,4.932175247058725e-07,-1.910620852615977e-11,6.905025634259438e-10,-2.450115603811746e-14,8.414171170380350e-07,6.782371248172116e-02,6.431356562074158e-09,1.636875440766367e-01,-5.258632125412820e-06,-9.502769825383268e-05,-6.737323923238608e-09,5.040025853217968e+00,2.710146988690979e-04,-7.413610268249446e-08,3.560790683383588e-07
2.479993079318454e-05,1.347866438236128e-02,1.347849723956927e-02,9.999751977279505e-01,7.322602114245896e-06,-4.606106869532756e-12,2.973259640193555e-05,4.606104124225703e-12,1.229709691599479e-05,-2.390467144677508e-09,1.727014011308768e-08,-3.061343925352193e-12,2.101484896201723e-05,6.746130140162600e-02,1.607796386661440e-07,1.636110474577615e-01,-2.632580011288941e-05,-9.511640522582994e-05,-3.356073963352038e-08,5.039588191715089e+00,1.354697387876277e-03,-1.848013033016983e-06,1.780050448534731e-06
6.943835963846290e-05,3.773947405876450e-02,3.773816328411264e-02,9.999305094275700e-01,2.050287047245726e-05,-2.810220641579030e-10,2.329724656093623e-04,2.810218960038762e-10,9.582684600394942e-05,-5.258512422043052e-08,1.355343865585388e-07,-6.713857559089480e-11,1.643997963176038e-04,6.665510579887581e-02,1.260470260129817e-06,1.634441329896009e-01,-7.391084356646602e-05,-9.531643784929254e-05,-9.317965220347631e-08,5.038616450506219e+00,3.790662370953421e-03,-1.439413959248017e-05,4.982186529058443e-06
1.487923519430945e-04,8.086805528724719e-02,8.086202857406799e-02,9.998506899782680e-01,4.393359851054446e-05,-5.847960724827118e-09,1.068751209655581e-03,5.847957200343076e-09,4.353314589891092e-04,-5.193396427564131e-07,6.234818194115094e-07,-6.594588127171197e-10,7.520442583009451e-04,6.525194430684671e-02,5.787740669485987e-06,1.631641017557998e-01,-1.590816870138618e-04,-9.567582536812781e-05,-1.966715992481962e-07,5.036933244524443e+00,8.112147446113764e-03,-6.533469204650644e-05,1.067003289576855e-05
2.727765073938793e-04,1.482529538173228e-01,1.482326151435646e-01,9.997240103763561e-01,8.054260806732403e-05,-6.472737025375680e-08,3.587132920736242e-03,6.472733078532985e-08,1.439053606493820e-03,-3.218549197820581e-06,2.101638299573155e-06,-4.051692770301314e-09,2.513125627280424e-03,6.313156442512706e-02,1.945366755171311e-05,1.627653236908230e-01,-2.933965234660747e-04,-9.625345156442323e-05,-3.520180723692821e-07,5.034416508643305e+00,1.483518634914776e-02,-2.156698966574368e-04,1.955063472369693e-05
4.513023265247940e-04,2.452810310211923e-01,2.452247868325503e-01,9.995340165444723e-01,1.332574354182656e-04,-4.710551942348381e-07,9.801307697485445e-03,4.710549019343355e-07,3.846873431177177e-03,-1.469549368400434e-05,5.777840053895816e-06,-1.826697535283933e-08,6.824326091782277e-03,6.022080578853115e-02,5.326111028162880e-05,1.622632215052132e-01,-4.886717570161382e-04,-9.712979981111904e-05,-5.622246733414986e-07,5.031034223217862e+00,2.443331301168189e-02,-5.753034170143557e-04,3.234329795497205e-05
6.942775224545450e-04,3.773370898258246e-01,3.772010354630190e-01,9.992516822380685e-01,2.050050836464524e-04,-2.536208481068705e-06,2.314367894241369e-02,2.536206868285839e-06,8.817706732931937e-03,-5.407364593551074e-05,1.375800834387283e-05,-6.605321557751769e-08,1.598196094110696e-02,5.650609880840332e-02,1.260951988229824e-04,1.616916138039201e-01,-7.558871912032874e-04,-9.841599940169381e-05,-8.232021461046486e-07,5.026887412478945e+00,3.728740574054148e-02,-1.314694239338240e-03,4.981338230517215e-05
1.006645277842999e-03,5.471077304725138e-01,5.468097258580288e-01,9.988264995756223e-01,2.972446730199070e-04,-1.065723302932088e-05,4.852522387918291e-02,1.065722603350749e-05,1.779856010568818e-02,-1.669253630077874e-04,2.916220127134373e-05,-1.993525286712616e-07,3.316722060545230e-02,5.210733422011698e-02,2.652222211800679e-04,1.610955451370183e-01,-1.097163946956800e-03,-1.002281160028810e-04,-1.117458000204950e-06,5.022326983307482e+00,5.335276244577272e-02,-2.642886764585903e-03,7.247664628960549e-05
1.388383901632650e-03,7.545811639572240e-01,7.539744515261873e-01,9.981676869992736e-01,4.099585140492580e-04,-3.627452833143028e-05,9.203141703868521e-02,3.627450358264674e-05,3.223618345762439e-02,-4.440630580106027e-04,5.606474524243308e-05,-5.159358691698801e-07,6.215193749994613e-02,4.724272260818579e-02,5.047854546376098e-04,1.604896521312389e-01,-1.502039536047908e-03,-1.026620296550555e-04,-1.416931523239791e-06,5.017927811650909e+00,7.211390643242600e-02,-4.762000906743424e-03,1.006668687937289e-04
