y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.425068150227311e-35,0.000000000000000e+00,8.830598195587062e-40,0.000000000000000e+00,7.125340751136554e-36,7.647486402813683e-02,1.106730727772974e-70,1.725431441479052e-01,3.533626924557217e-40,-3.120336004980881e-05,-2.191304550436767e-40,5.764127149114201e+00,3.168316163031618e-20,0.000000000000000e+00,-7.869372831097260e-22
4.814781378392752e-05,4.473535515368329e-03,4.473535515307076e-03,9.999999999186289e-01,1.548034454535846e-07,-6.840038209023698e-14,3.452611444956582e-06,6.840038209023698e-14,1.528712259208198e-06,-9.953274406688400e-11,6.245784293237839e-10,-1.272038369923319e-14,2.490661886282581e-06,7.630082717350460e-02,1.978310569654683e-08,1.725021755640830e-01,-9.948067929228542e-06,-3.121540292297858e-05,-1.268798914017723e-09,5.763909675660019e+00,5.994740468436977e-04,-2.433399726071673e-07,-6.192199875771262e-08
2.407066139520353e-04,2.236466210347310e-02,2.236466203545894e-02,9.999999877392162e-01,7.739129113089946e-07,-4.249568155808983e-11,8.625131728007466e-05,4.249568155808983e-11,3.803384950528658e-05,-1.245808098267655e-08,1.562230655793198e-08,-1.597232231372543e-12,6.214260464052141e-05,7.560865075224921e-02,4.944459736085595e-07,1.723408143383131e-01,-4.983753438032545e-05,-3.126356684210575e-05,-6.324923663735921e-09,5.763047452821246e+00,2.996292318818481e-03,-6.051973466141986e-06,-3.099014783445408e-07
6.738422300787139e-04,6.260839093421923e-02,6.260838667370625e-02,9.999997268867222e-01,2.166518247069098e-06,-2.578128814918883e-09,6.752324205353793e-04,2.578128814918883e-09,2.950253711321387e-04,-2.743622344003175e-07,1.226426653034870e-07,-3.541362789199937e-11,4.851301848981665e-04,7.407348842831406e-02,3.874978876556609e-06,1.719917475396086e-01,-1.401230587086301e-04,-3.137190295097207e-05,-1.757477969247487e-08,5.761151933233749e+00,8.381674355816847e-03,-4.690567017165168e-05,-8.692155252169411e-07
1.443558326269967e-03,1.341246659724782e-01,1.341245753607599e-01,9.999972887729000e-01,4.641283932043253e-06,-5.312797160057504e-08,3.093359873337860e-03,5.312797160057504e-08,1.329568400713477e-03,-2.715371143575455e-06,5.645820822541699e-07,-3.541642113154068e-10,2.211490701011469e-03,7.142693651260851e-02,1.778525783885395e-05,1.714203308396444e-01,-3.021632564596136e-04,-3.155987127220791e-05,-3.704471466061742e-08,5.757933170332184e+00,1.791948605932208e-02,-2.110716329704049e-04,-1.866441451800336e-06
2.645631688031891e-03,2.458123513168804e-01,2.458113194396926e-01,9.999831303772673e-01,8.506078020542344e-06,-5.792636514843281e-07,1.036303288622631e-02,5.792636514843281e-07,4.341326185311131e-03,-1.688225416984767e-05,1.905147009235759e-06,-2.229161927038877e-09,7.352469167594463e-03,6.750705732874107e-02,5.975202673683365e-05,1.706465165697651e-01,-5.580020310261334e-04,-3.183336954901904e-05,-6.576794491143933e-08,5.753288284915667e+00,3.268908545840898e-02,-6.875343334651952e-04,-3.429292637011807e-06
4.375547662071155e-03,4.065432327479079e-01,4.065354231473301e-01,9.999226294586532e-01,1.406734778928587e-05,-4.126798444280630e-06,2.824937682918445e-02,4.126798444280630e-06,1.140570045064905e-02,-7.740558842289310e-05,5.243529017038573e-06,-1.032508696935821e-08,1.982960203913889e-02,6.229153452856637e-02,1.635165771429193e-04,1.697436244361876e-01,-9.279437046996932e-04,-3.217700410538653e-05,-1.027189281958464e-07,5.747417407146380e+00,5.356074949212281e-02,-1.799692582564278e-03,-5.688915624248208e-06
6.728435792545118e-03,6.251560375286207e-01,6.251117517394423e-01,9.997139525587913e-01,2.162806979539397e-05,-2.159725716771177e-05,6.652231777644263e-02,2.159725716771177e-05,2.554951025863315e-02,-2.861301381201514e-04,1.249127136133694e-05,-3.826875315072565e-08,4.604671264612175e-02,5.590689634018747e-02,3.869179137195803e-04,1.687942104238780e-01,-1.423424564691726e-03,-3.253972056406091e-05,-1.436838971145694e-07,5.740966606924592e+00,8.096681938155262e-02,-4.010140213902222e-03,-8.781103199300237e-06
9.750857883363828e-03,9.059769409737694e-01,9.057785083829588e-01,9.991137219954868e-01,3.132703382142604e-05,-8.757240684524359e-05,1.390310153354294e-01,8.757240684524359e-05,5.011048857978210e-02,-8.864507191874610e-04,2.643500144039724e-05,-1.173678324200017e-07,9.461453816102838e-02,4.873409596134925e-02,8.130093891187139e-04,1.678019061647910e-01,-2.023479281587756e-03,-3.279436727113910e-05,-1.812191617465217e-07,5.735264604792460e+00,1.140591253182578e-01,-7.809663468064799e-03,-1.277635256185459e-05
1.344077661230325e-02,1.248816650307437e+00,1.248089077742576e+00,9.976410932692463e-01,4.312622321390846e-05,-2.856771169767795e-04,2.626122228076375e-01,2.856771169767795e-04,8.771684407849044e-02,-2.359235424691832e-03,5.053185569055973e-05,-3.043887965444988e-07,1.753073720015524e-01,4.131381489752437e-02,1.543665329470109e-03,1.665303527423358e-01,-2.660838736364202e-03,-3.270706566662009e-05,-2.106071140684934e-07,5.732224133294076e+00,1.506409849326845e-01,-1.355199430279555e-02,-1.766838264413833e-05
1.779570471808556e-02,1.653444067774858e+00,1.651179349783247e+00,9.944662704943635e-01,5.694405476776582e-05,-7.804945405090631e-04,4.567041871396125e-01,7.804945405090631e-04,1.398641706686197e-01,-5.534307605235309e-03,8.874214312222033e-05,-6.850721692884256e-07,2.986744261743706e-01,3.417567627517493e-02,2.695684260263649e-03,1.643845578978541e-01,-3.225158919643742e-03,-3.195102054808523e-05,-2.403800819098128e-07,5.734130581258956e+00,1.878624957768188e-01,-2.139435044516296e-02,-2.343883719305198e-05
2.281270667696611e-02,2.119586446418365e+00,2.113425823857622e+00,9.883305684902620e-01,7.262583997411915e-05,-1.845912718344233e-03,7.415457472861074e-01,1.845912718344233e-03,2.065979160339582e-01,-1.167038255165016e-02,1.449771292507039e-04,-1.369496400264711e-06,4.749947880192049e-01,2.782537769291539e-02,4.386514013010636e-03,1.604714407481771e-01,-3.570226507354756e-03,-3.021571105275086e-05,-3.028929361163534e-07,5.743561960617998e+00,2.225554569315365e-01,-3.126745094974080e-02,-3.009026710956094e-05
2.848840068147995e-02,2.646929573927749e+00,2.631966370914787e+00,9.775643549881045e-01,8.991054415038638e-05,-3.878280844506099e-03,1.134727861231483e+00,3.878280844506099e-03,2.865177966815579e-01,-2.243712362737387e-02,2.221943051248874e-04,-2.482307549723210e-06,7.125619693787733e-01,2.270705636606881e-02,6.709277182988817e-03,1.539134418772674e-01,-3.539674982208331e-03,-2.740382632932375e-05,-4.623807182152842e-07,5.763248005181916e+00,2.517393108680803e-01,-4.290020378676838e-02,-3.771687623573455e-05
3.481896092001469e-02,3.235117984441154e+00,3.202151086281827e+00,9.602683299841219e-01,1.083976179822951e-04,-7.386563041896092e-03,1.646074650849058e+00,7.386563041896092e-03,3.770950110270055e-01,-3.973385941516697e-02,3.213539536938484e-04,-4.156467517606106e-06,1.015278112458980e+00,1.913473470102035e-02,9.700408736029505e-03,1.443532388048579e-01,-3.006535519471220e-03,-2.375222989818632e-05,-8.179729528734396e-07,5.795872376131792e+00,2.731900534027840e-01,-5.588165908628623e-02,-4.657906868620899e-05
4.180012015567314e-02,3.883755198153751e+00,3.817075516949010e+00,9.346701947551362e-01,1.275137213519528e-04,-1.295939950339204e-02,2.272100439370330e+00,1.295939950339204e-02,4.752105208559116e-01,-6.533290673158283e-02,4.406520293650386e-04,-6.531858974067411e-06,1.380135179864817e+00,1.722345688959354e-02,1.331103384903111e-02,1.323400812594467e-01,-1.912564761892341e-03,-1.976447062976427e-05,-1.497841372309374e-06,5.843842936975318e+00,2.859391262467930e-01,-6.973282840064561e-02,-5.710893421492099e-05
4.942717260268714e-02,4.592403988572638e+00,4.467398268265264e+00,8.995754981803211e-01,1.464824741272375e-04,-2.121656036460725e-02,2.992475369289195e+00,2.121656036460725e-02,5.777520631050801e-01,-1.004287182536288e-01,5.753905609012375e-04,-9.738219948445434e-06,1.795721996379441e+00,1.686421661862373e-02,1.739636371773621e-02,1.192575259588275e-01,-2.906440218553061e-04,-1.599158412991716e-05,-2.635286786016627e-06,5.909065503993279e+00,2.905640786173677e-01,-8.396289311906661e-02,-6.980660209798990e-05
5.769497709844340e-02,5.360586677237812e+00,5.141607119405126e+00,8.547559641142725e-01,1.643197795064365e-04,-3.275603987431827e-02,3.770824310311623e+00,3.275603987431827e-02,6.820891156793848e-01,-1.452495618334404e-01,7.185592926647306e-04,-1.383711472019145e-05,2.242834732932663e+00,1.776334074986027e-02,2.173141346023371e-02,1.067721390536645e-01,1.739517304857579e-03,-1.275092320684903e-05,-4.320352826384982e-06,5.992751728033014e+00,2.891596988459421e-01,-9.809660419339118e-02,-8.514958614719494e-05
