y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,1.082697459395832e-37,0.000000000000000e+00,8.074427204205376e-39,0.000000000000000e+00,5.413487296979160e-38,3.913381640537667e-04,9.651799973648529e-73,2.678832133134167e-03,3.513203481787744e-40,1.778445947934813e-04,3.486825868573144e-40,2.868094805888588e-02,3.482708081454392e-21,0.000000000000000e+00,1.578843552099835e-21
4.814781378392752e-05,4.474289989264460e-03,5.385607535170225e-06,1.522546499452253e-03,8.754208866251457e-07,3.949867247841293e-16,1.554554437609742e-04,3.949867247841293e-16,7.294539745813412e-09,3.979416878950614e-13,1.412733714482898e-05,2.795370913818595e-14,7.772772196605874e-05,3.903186933118497e-04,8.625939865196517e-11,2.678732836042266e-03,4.382292913929680e-08,1.778775780960054e-04,2.786552036033054e-09,2.867983781794117e-02,3.340710742246485e-06,1.445365115634766e-09,1.357717385227947e-06
2.407066139520353e-04,2.236843396438600e-02,2.692440772282723e-05,1.522546525238036e-03,4.376514602847527e-06,2.452824662202587e-13,7.761169445748474e-04,2.452824662202587e-13,1.813476353790047e-07,4.984862123599545e-11,7.056189951657963e-05,3.498839084018773e-12,3.880584828808544e-04,3.862657868104133e-04,2.155912587651473e-09,2.678342213344142e-03,2.196869437230569e-07,1.780099167964705e-04,1.383254553756840e-08,2.867543892473217e-02,1.669986196845303e-05,3.593587446390758e-08,6.787747096288571e-06
6.738422300787139e-04,6.261895000913356e-02,7.537310200065841e-05,1.522546535171992e-03,1.225176760937390e-05,1.486498347072540e-11,2.166042127504667e-03,1.486498347072540e-11,1.404278013267180e-06,1.099752982025495e-09,1.971218984462946e-04,7.704319870949088e-11,1.083021291356002e-03,3.772850702684365e-04,1.689600475361719e-08,2.677520137021906e-03,6.185610594774293e-07,1.783103731852658e-04,3.811329838428495e-08,2.866578542694607e-02,4.673466046198593e-05,2.783270617898028e-07,1.900032899836683e-05
1.443558326269967e-03,1.341472864611176e-01,1.614702625226304e-04,1.522545067442790e-03,2.624674155681518e-05,3.057348015958351e-10,4.614969802770586e-03,3.057348015958351e-10,6.309073419532731e-06,1.091747153501444e-08,4.207195949662459e-04,7.379514521456579e-10,2.307487057650156e-03,3.618403956776475e-04,7.755036573834899e-08,2.676250562850026e-03,1.337114198708202e-06,1.788526572671569e-04,7.942685193247488e-08,2.864945222339886e-02,1.000201831012084e-04,1.250888835903670e-06,4.068532967169730e-05
2.645631688031891e-03,2.458538082365311e-01,2.959288779421169e-04,1.522532044607830e-03,4.810289911945910e-05,3.423572264704865e-09,8.385531199137637e-03,3.423572264704865e-09,2.050104622362308e-05,6.818517084839464e-08,7.665412120022284e-04,4.566188475146779e-09,4.192778129850740e-03,3.390739259496631e-04,2.605551517248284e-07,2.674673083093335e-03,2.477673390297012e-06,1.797192927602886e-04,1.355828716278643e-07,2.862604098370471e-02,1.828844641487710e-04,4.066560880920048e-06,7.446013944653407e-05
4.375547662071155e-03,4.066117973665867e-01,4.894269948697791e-04,1.522462209732637e-03,7.955604663673250e-05,2.429093262132749e-08,1.369632194437274e-02,2.429093262132749e-08,5.348626189856407e-05,3.145279107827906e-07,1.256911911871623e-03,2.074172073279697e-08,6.848213190035562e-03,3.090079254494146e-04,7.131040698241045e-07,2.672759149465839e-03,4.136549690225000e-06,1.810066522816317e-04,2.149476625379973e-07,2.859682316704383e-02,3.010898138646001e-04,1.061412117083713e-05,1.227469680060600e-04
6.728435792545118e-03,6.252614717896664e-01,7.525882473356823e-04,1.522176486754098e-03,1.223327906375802e-04,1.264230244345017e-07,2.070071716979253e-02,1.264230244345017e-07,1.186755083449923e-04,1.171160500289703e-06,1.909744502229540e-03,7.538443586826819e-08,1.035052867292303e-02,2.726017271848425e-04,1.687583190976847e-06,2.669363972572147e-03,6.365292253885147e-06,1.862596024805277e-04,3.280524403116506e-07,2.856555443761152e-02,4.593774131538770e-04,2.355740822920836e-05,1.875438154852263e-04
9.750857883363828e-03,9.061297364417193e-01,1.090540223986664e-03,1.521228624399977e-03,1.772655953850453e-04,5.090216804303519e-07,2.932680194673006e-02,5.090216804303519e-07,2.299089961822977e-04,3.656294808762761e-06,2.723636726597084e-03,2.272923160801389e-07,1.466385156454775e-02,2.323608209774573e-04,3.546073672355263e-06,2.661170956429720e-03,9.047367988300539e-06,1.852140031057272e-04,5.201555110867859e-07,2.853976473849087e-02,6.579639491147013e-04,4.564190149230434e-05,2.688213663741019e-04
1.344077661230325e-02,1.249027266622089e+00,1.502770638254465e-03,1.518608524873302e-03,2.442734589936356e-04,1.646483277943352e-06,3.928719124890357e-02,1.646483277943352e-06,3.964023140803838e-04,9.796516517661130e-06,3.677812242846322e-03,5.827507306875567e-07,1.964459552735459e-02,1.917568481090312e-04,6.729674068357508e-06,2.643268369341408e-03,1.181347494584360e-05,1.880761318697933e-04,8.782016795555408e-07,2.853032035096164e-02,8.931226000659219e-04,7.869787640875166e-05,3.644755805170568e-04
