y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,3.136536170218091e-38,0.000000000000000e+00,1.057120385921280e-39,0.000000000000000e+00,1.568268085109045e-38,1.985038991159076e-04,2.597692582863205e-73,2.500313745864330e-03,5.404380371946378e-41,7.435529272862741e-05,5.444777146818367e-41,2.703495706308749e-02,1.284077586952158e-21,0.000000000000000e+00,4.060367645351573e-22
2.059765673623204e-05,4.520751555384802e-03,4.760816315099168e-06,1.332081440398889e-03,3.090585455594386e-07,1.680339278137367e-16,1.551603106590979e-04,1.680339278137367e-16,2.955873579556266e-09,2.301945602748822e-13,5.630978527059490e-06,7.985803057537795e-15,7.758015534362662e-05,1.980443786848580e-04,6.702069175083826e-11,2.500321076838359e-03,2.774406562259757e-08,7.437003820712942e-05,7.796717257390351e-10,2.703445876114316e-02,1.961803894924404e-06,5.683141174424378e-10,3.476369509502081e-07
1.029823439926414e-04,2.260245414047382e-02,2.380270991626604e-05,1.332081557515259e-03,1.545203440355068e-06,1.043153162400897e-13,7.747355116366802e-04,1.043153162400897e-13,7.353993114878983e-08,2.883535443894698e-11,2.812110357213843e-05,1.001065909142786e-12,3.873677575634910e-04,1.962179758944946e-04,1.675331667030641e-09,2.500342701803792e-03,1.391583323050468e-07,7.442886343976935e-05,3.873328684340947e-09,2.703248432108268e-02,9.807209126416297e-06,1.412967260039397e-08,1.738075810982671e-06
2.883256182004690e-04,6.328139669617082e-02,6.664184337369660e-05,1.332082167084974e-03,4.326191843466388e-06,6.316155461909976e-12,2.162640597092931e-03,6.316155461909976e-12,5.703603888149295e-07,6.360610220380723e-10,7.852971214229437e-05,2.211275526395119e-11,1.081320336152225e-03,1.921713583455347e-04,1.313274008783970e-08,2.500368559554652e-03,3.922238416938109e-07,7.456031775137921e-05,1.068401083119806e-08,2.702815114113835e-02,2.744719013470559e-05,1.094199016780773e-07,4.865788690195028e-06
6.177693459122890e-04,1.355873518607302e-01,1.427876190976567e-04,1.332082853216189e-03,9.269307455753076e-06,1.296762922421287e-10,4.609213957380091e-03,1.296762922421287e-10,2.569555418221547e-06,6.312107126705902e-09,1.674872025884359e-04,2.198097620353160e-10,2.304607336810466e-03,1.852129659666950e-04,6.029678515122544e-08,2.500341532298929e-03,7.417291865669982e-07,7.479131860942709e-05,2.225673742364309e-08,2.702081981626220e-02,5.875085930867028e-05,4.916011556966579e-07,1.042165340223452e-05
1.132413839837088e-03,2.485409720794912e-01,2.617399007853286e-04,1.332075538298306e-03,1.699105878805371e-05,1.405482954120035e-09,8.378947198930885e-03,1.405482954120035e-09,8.385810805440112e-06,3.163211969431632e-08,3.048065039257388e-04,1.372937141131086e-09,4.189475697634984e-03,1.749504850409285e-04,2.026718199167830e-07,2.500158336717133e-03,1.378685236011573e-06,7.514659657452202e-05,3.890853652007823e-08,2.701031342818953e-02,1.074659109857664e-04,1.597253194796075e-06,1.908326857539905e-05
1.873306006858533e-03,4.111511883446703e-01,4.329842162528658e-04,1.332020414391099e-03,2.810651749090394e-05,9.926309814625968e-09,1.369418976061876e-02,9.926309814625968e-09,2.201738532609707e-05,1.463704944315251e-07,4.989625246777522e-04,6.310791486913555e-09,6.847103730140042e-03,1.613723342002672e-04,5.549965594349670e-07,2.499605715037124e-03,2.308650693781534e-06,7.332345573719382e-05,5.984765536338976e-08,2.699720635644939e-02,1.770581476671958e-04,4.165616876157714e-06,3.149139875690625e-05
2.881427511453483e-03,6.324126123151812e-01,6.659762482540984e-04,1.331780511680287e-03,4.322754051875843e-05,4.662572677540238e-08,2.071466951131935e-02,4.662572677540238e-08,4.928983904739874e-05,5.471477556499089e-07,7.564250371250667e-04,2.326137108611341e-08,1.035736407651086e-02,1.448646098405253e-04,1.314435409871645e-06,2.498109641017041e-03,3.559850847901801e-06,7.421866617047367e-05,8.374355637298515e-08,2.698318331775270e-02,2.704701749729975e-04,9.236127562004069e-06,4.820539363891126e-05
4.177085301188321e-03,9.167821910103595e-01,9.653291433461560e-04,1.330987099369610e-03,6.264940577637371e-05,1.868660576475117e-07,2.937774939678772e-02,1.868660576475117e-07,9.664118038990149e-05,1.715844376157581e-06,1.075834714151170e-03,7.124799268877330e-08,1.468895417629457e-02,1.264723047251933e-04,2.765137866499383e-06,2.494282928748357e-03,5.062128757533007e-06,7.531890837200319e-05,1.129200017198735e-07,2.697159483456571e-02,3.880568979317920e-04,1.787670896559684e-05,6.930770956473818e-05
5.759905750861605e-03,1.264177921572687e+00,1.330677205596236e-03,1.328820503728088e-03,8.634254153751849e-05,6.010825275361309e-07,3.940753365194449e-02,6.010825275361309e-07,1.692211561295840e-04,4.619246185085102e-06,1.448220618534907e-03,1.855666013409382e-07,1.970394849192745e-02,1.076372918971223e-04,4.954055719972556e-06,2.485134161192510e-03,6.600980683206211e-06,7.653057144901658e-05,1.578721802682375e-07,2.696722091147442e-02,5.278641705147675e-04,3.080109306973792e-05,9.439463476148378e-05
