y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,6.843008226983950e-38,0.000000000000000e+00,3.159200547014894e-39,0.000000000000000e+00,3.421504113491975e-38,1.888787899026484e-04,3.853498764868846e-73,1.166367612435198e-03,1.505278162275760e-40,9.966508907466372e-05,1.517936858670811e-40,1.677845820298608e-02,1.404640813379855e-21,0.000000000000000e+00,6.776243756990979e-22
4.814781378392752e-05,4.473535515368329e-03,2.341433285303656e-06,6.620501618946589e-04,3.631342510660102e-07,1.631693790543087e-16,6.759708956501602e-05,1.631693790543087e-16,3.566263853274969e-09,1.754464239076711e-13,5.860498323047854e-06,1.822771318672608e-14,3.379854482954493e-05,1.884392588435051e-04,3.381979565896804e-11,1.166244219957347e-03,1.930089878014948e-08,9.968646526362105e-05,1.818445024875157e-09,1.677807735221035e-02,1.909958442566744e-06,6.105623257768602e-10,7.449201207774706e-07
2.407066139520353e-04,2.236466210347310e-02,1.170559278777308e-05,6.620506473885055e-04,1.815426587114192e-06,1.013374701090491e-13,3.374864618214553e-04,1.013374701090491e-13,8.871650972154731e-08,2.196729421798976e-11,2.925820540535259e-05,2.280145401982535e-12,1.687432367410496e-04,1.866877023818309e-04,8.452700127023703e-10,1.161464083518252e-03,9.670304444792250e-08,9.977220597035682e-05,9.037863575691317e-09,1.677656840289834e-02,9.548038012361700e-06,1.518294878494451e-08,3.724116143987248e-06
6.738422300787139e-04,6.260839093421923e-02,3.276911963216285e-05,6.620538067056154e-04,5.082168581477550e-06,6.142947411311666e-12,9.419175425376479e-04,6.142947411311666e-12,6.879593212961593e-07,4.841427063212847e-10,8.165298152548422e-05,5.014448428068659e-11,4.709588968870292e-04,1.827955337309556e-04,6.624401126946710e-09,1.160859237433094e-03,2.719533738356759e-07,9.996659771726213e-05,2.496593186383692e-08,1.677325709769973e-02,2.672432091346329e-05,1.176401069835532e-07,1.042460240284254e-05
1.443558326269967e-03,1.341246659724782e-01,7.020129740635662e-05,6.620645356243068e-04,1.088744074472849e-05,1.264032118647275e-10,2.006996665709688e-03,1.264032118647275e-10,3.098534129101142e-06,4.797696103256243e-09,1.739626179850554e-04,4.948757734403786e-10,1.003499528784589e-03,1.760673938422188e-04,3.040460122466959e-08,1.159895945981453e-03,5.866800973044136e-07,1.003125917907334e-04,5.221730852353380e-08,1.676765495721379e-02,5.722132110379390e-05,5.290917797475116e-07,2.232329284074532e-05
2.645631688031891e-03,2.458123513168804e-01,1.286620485244383e-04,6.620859768770935e-04,1.995364897439699e-05,1.375016683421319e-09,3.647208870054786e-03,1.375016683421319e-09,1.010704123307663e-05,2.988466079840464e-08,3.160904947326557e-04,3.060508608963269e-09,1.823611437100204e-03,1.660888740375804e-04,1.021487714486514e-07,1.158661282966151e-03,1.083997618061791e-06,1.008446123432541e-04,9.220708585331137e-08,1.675962597929268e-02,1.047433476731888e-04,1.722026925054737e-06,4.086215819312282e-05
4.375547662071155e-03,4.065432327479079e-01,2.127989903020120e-04,6.620998835883363e-04,3.300104032770014e-05,9.763673439717022e-09,5.958107896063007e-03,9.763673439717022e-09,2.651227140463756e-05,1.373527515093459e-07,5.163196265284049e-04,1.390083668569860e-08,2.979083441335553e-03,1.528291365961927e-04,2.795312350478607e-07,1.157319634640003e-03,1.803395184983418e-06,1.015807837316512e-04,1.452213657999602e-07,1.674960649236555e-02,1.728160304113032e-04,4.502310036039465e-06,6.738941610877545e-05
6.728435792545118e-03,6.251560375286207e-01,3.272336413797445e-04,6.620148419786531e-04,5.074701992379268e-05,5.087457263591366e-08,9.006889896161404e-03,5.087457263591366e-08,5.925972951102030e-05,5.090619312709152e-07,7.805819832890583e-04,5.058255577055298e-08,4.503542420131744e-03,1.366405032030791e-04,6.469992462166194e-07,1.155824507849958e-03,2.765157465883183e-06,1.025038984565806e-04,2.137526514077521e-07,1.673888175846945e-02,2.646325116220720e-04,1.001631065892712e-05,1.030486293899819e-04
9.750857883363828e-03,9.059769409737694e-01,4.741648849630764e-04,6.615657623391146e-04,7.354174038549157e-05,2.051758958254978e-07,1.276173335600337e-02,2.051758958254978e-07,1.158917818115543e-04,1.580450799810736e-06,1.106526307009019e-03,1.530261805632397e-07,6.381129782352761e-03,1.185002790879356e-04,1.358751790612886e-06,1.153304432801190e-03,3.921033006902184e-06,1.034827505037242e-04,3.137455109259455e-07,1.673002278818926e-02,3.810483505326426e-04,1.946678455071945e-05,1.479117741541693e-04
1.344077661230325e-02,1.248816650307437e+00,6.532246157456178e-04,6.601785208213307e-04,1.013662836718493e-04,6.651396035727217e-07,1.709397133602876e-02,6.651396035727217e-07,2.021231812119332e-04,4.208432668738271e-06,1.484005566085435e-03,3.944387546667676e-07,8.547583141739055e-03,9.976151692270337e-05,2.633126246432118e-06,1.112036509644614e-03,5.124395817032889e-06,1.041420599075176e-04,4.916394591414178e-07,1.672673186810708e-02,5.206582248450434e-04,3.369539347795910e-05,2.009462600580521e-04
1.779570471808556e-02,1.653444067774858e+00,8.635315652644240e-04,6.568078699897283e-04,1.341928503870429e-04,1.804567062551688e-06,2.183877398204209e-02,1.804567062551688e-06,3.208262966717785e-04,9.848617328794972e-06,1.900692298029541e-03,8.901134581678305e-07,1.092056525331698e-02,8.169483764964699e-05,4.583333518254877e-06,1.096394156002120e-03,6.138615936438650e-06,1.037113302523932e-04,8.176428648400626e-07,1.673350750096222e-02,6.817638220221428e-04,5.303239109166738e-05,2.608161628971908e-04
2.281270667696611e-02,2.119586446418365e+00,1.103232525967762e-03,6.522846598734674e-04,1.719715244421794e-04,4.235709648153382e-06,2.679125660356292e-02,4.235709648153382e-06,4.712926076184651e-04,2.062913410606426e-05,2.341878768539489e-03,1.798596477164773e-06,1.339770096939383e-02,6.231951365269123e-05,7.411542970254911e-06,1.104394948953317e-03,6.657972923733846e-06,1.012977038258038e-04,1.357669862769600e-06,1.675551967064507e-02,8.622574148431502e-04,7.722300129510926e-05,3.260321611062494e-04
2.848840068147995e-02,2.646929573927749e+00,1.368937402030641e-03,6.414294766730429e-04,2.145673041144650e-04,8.507932831231639e-06,3.170651421314002e-02,8.507932831231639e-06,6.492594665817762e-04,3.916621001820661e-05,2.789860151552547e-03,3.311923013899298e-06,1.585658107685826e-02,5.037072741451673e-05,1.121316163617118e-05,1.086409947618656e-03,6.204968832103004e-06,9.681574567376526e-05,2.161086225027317e-06,1.679834854105519e-02,1.059242632827815e-03,1.054956100229493e-04,3.951261668532979e-04
3.481896092001469e-02,3.235117984441154e+00,1.655229739596112e-03,6.284677231672830e-04,2.615758993380185e-04,1.593702361942601e-05,3.630661126693388e-02,1.593702361942601e-05,7.811484225150930e-04,6.799560871750777e-05,3.223117126297430e-03,5.636512278174371e-06,1.815750856075091e-02,4.281416028652423e-05,1.593763206038211e-05,1.004215897124914e-03,5.090511259946275e-06,8.838852232140672e-05,3.256972608081580e-06,1.686756483590648e-02,1.268611239775084e-03,1.367315394205928e-04,4.667758975946843e-04
4.180012015567314e-02,3.883755198153751e+00,1.954514266758328e-03,5.932042783987245e-04,3.120412022487663e-04,2.746799565904798e-05,4.079702128771125e-02,2.746799565904798e-05,9.966936101109183e-04,1.055696986542872e-04,3.617313817309304e-03,8.971095166827744e-06,2.040460180077761e-02,3.954463364432107e-05,2.157095808476825e-05,9.159001278879341e-04,3.473743744124297e-06,8.354372193241195e-05,4.641730300328597e-06,1.696816000208666e-02,1.559249526931391e-03,1.749258755744775e-04,5.324174265877144e-04
4.942717260268714e-02,4.592403988572638e+00,2.257478036994912e-03,5.620243498316083e-04,3.643745040516715e-04,4.413847053043822e-05,4.412362596698036e-02,4.413847053043822e-05,1.187444613496134e-03,1.557533644217885e-04,3.951838892781871e-03,1.348081929091107e-05,2.206981162917281e-02,3.853305873347368e-05,2.708484974108672e-05,8.056013954177716e-04,3.391220538348002e-06,7.435636922586680e-05,6.043874607604512e-06,1.759535519059684e-02,1.789653645135727e-03,2.101809899422347e-04,6.210626722097609e-04
5.769497709844340e-02,5.360586677237812e+00,2.574726605597803e-03,5.375246201342763e-04,4.168709282876413e-04,6.930953875343498e-05,4.631708135695895e-02,6.930953875343498e-05,1.375107689783927e-03,2.149815825276070e-04,4.221851970076690e-03,1.925877019981306e-05,2.316877073993040e-02,4.020849802986491e-05,3.270815404856598e-05,7.317086440033641e-04,5.956543895468032e-06,6.263235084592156e-05,7.726170646414376e-06,1.776747598852220e-02,1.916267749894877e-03,2.450198220243627e-04,6.949680582688060e-04
