y/delta,y^+,U,dU/dy,W,P,u'u',v'v',w'w',u'v',u'w',v'w',k,omega_x'omega_x',omega_y'omega_y',omega_z'omega_z',omega_x'omega_y',omega_x'omega_z',omega_y'omega_z',p'p',u'p',v'p',w'p'
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,5.304807172045605e-38,0.000000000000000e+00,6.608786140056406e-40,0.000000000000000e+00,2.652403586022802e-38,9.515956787938018e-04,7.209802120944378e-73,9.671037730840645e-03,1.974881069880735e-41,1.174623128384103e-04,1.984438664425068e-41,1.101695163015520e-01,1.653714162109767e-21,0.000000000000000e+00,2.747627436693027e-22
1.137017775942883e-05,5.700667374353908e-03,2.810943465700710e-05,6.237153047679574e-03,6.040572883254750e-07,2.345500510806364e-15,1.002559422790670e-03,2.345500510806364e-15,2.182398285500002e-08,2.905834148136500e-12,1.204395761106964e-05,1.519058950261474e-14,5.012797115141028e-04,9.488205770382435e-04,6.674051260302503e-10,9.670548853869311e-03,2.037706002270838e-07,1.174861489080694e-04,9.348053605369517e-10,1.101663666623836e-01,7.320584488424959e-06,4.470825390044717e-09,7.490999419319593e-07
5.684907886405188e-05,2.850242942539999e-02,1.405426952254628e-04,6.237152617399565e-03,3.020190827246424e-06,1.454051921614039e-12,5.005317996389577e-03,1.454051921614039e-12,5.422870848969847e-07,3.640386302667115e-10,6.013445882590283e-05,1.903726863719027e-12,2.502659012882930e-03,9.378240168558497e-04,1.668417808643449e-08,9.668654538296005e-03,1.022319694968666e-06,1.175805024548652e-04,4.684423067306169e-09,1.101539199816968e-01,3.659617307321953e-05,1.109398387649646e-07,3.745453791008573e-06
1.591698193881275e-04,7.980299126064701e-02,3.935005768615333e-04,6.237144463862004e-03,8.456140608281998e-06,8.775660972227641e-11,1.396811812594126e-02,8.775660972227641e-11,4.194018558322483e-06,8.031425789574364e-09,1.678434266074698e-04,4.203822271341849e-11,6.984059377790978e-03,9.135882896144396e-04,1.307974576501360e-07,9.664709043627063e-03,2.882149990888348e-06,1.177878013015173e-04,1.317120967702504e-08,1.101268005305296e-01,1.024084713243044e-04,8.553324814654160e-07,1.048746475915789e-05
3.410564671805227e-04,1.709955214777642e-01,8.431584742133050e-04,6.237071027215476e-03,1.811922598123566e-05,1.791184420657535e-09,2.975414006500137e-02,1.791184420657535e-09,1.880160140002832e-05,7.971686690730783e-08,3.576448011085766e-04,4.179065479682417e-10,1.487707300267712e-02,8.724076200868175e-04,6.006275826279606e-07,9.658586460112306e-03,6.235773443067264e-06,1.181376109963178e-04,2.835961429988614e-08,1.100816030881382e-01,2.190952706472876e-04,3.812680387425409e-06,2.247599743133926e-05
6.252204245906778e-04,3.134668385714681e-01,1.545632573336980e-03,6.236650503149043e-03,3.321627451745993e-05,1.923550437023999e-08,5.404119213640964e-02,1.923550437023999e-08,6.090596963550685e-05,4.976548596070985e-07,6.499241639481342e-04,2.613581616630437e-09,2.702061322889365e-02,8.127949865381985e-04,2.019346784245091e-06,9.650293546146559e-03,1.153569886158027e-05,1.186366111519201e-04,5.201480723648547e-08,1.100186698064266e-01,4.002214338136536e-04,1.223672648105653e-05,4.122209170291546e-05
1.034356813211845e-03,5.185955983518106e-01,2.556831060006697e-03,6.234865644047377e-03,5.495339529545843e-05,1.340771056750822e-07,8.819989870590472e-02,1.340771056750822e-07,1.583128999893969e-04,2.293219506754445e-06,1.061676868827393e-03,1.206304176858048e-08,4.410002039320428e-02,7.358760702072222e-04,5.531468329063678e-06,9.638161410672551e-03,1.910307286306635e-05,1.192585498382393e-04,8.453075075134899e-08,1.099444466648123e-01,6.573858542278878e-04,3.136206193086361e-05,6.826471402012755e-05
1.591140861214257e-03,7.977504826609803e-01,3.931864246586024e-03,6.228749733615393e-03,8.453437134702457e-05,6.813406434122241e-07,1.331278878987013e-01,6.813406434122241e-07,3.499917286473917e-04,8.518382263223683e-06,1.604907040059893e-03,4.487499461038497e-08,6.656417398091020e-02,6.181568550115722e-04,1.310212898053264e-05,9.614199962334946e-03,2.879967550277952e-05,1.199266043374461e-04,1.212448538969858e-07,1.098744648850973e-01,9.980914454566217e-04,6.794953379517325e-05,1.051982792556073e-04
2.306854116087109e-03,1.156587722304212e+00,5.695161428500607e-03,6.211378987986772e-03,1.225500835492260e-04,2.662274236998652e-06,1.881658229930463e-01,2.662274236998652e-06,6.764501435060440e-04,2.645772682783878e-05,2.274362372916930e-03,1.396354101937671e-07,9.408351945815853e-02,5.303455519966140e-04,2.754057117475919e-05,9.556041132661470e-03,3.930742519842728e-05,1.204721979536957e-04,1.952487352968529e-07,1.098370711345968e-01,1.416445978117667e-03,1.278340447304190e-04,1.529332728292863e-04
3.181382648813180e-03,1.595050196676604e+00,7.836538403497878e-03,6.169879238390795e-03,1.689618148152765e-04,8.312550466482471e-06,2.510830547990916e-01,8.312550466482471e-06,1.063073388934537e-03,6.614605797025053e-05,3.048575534781470e-03,3.716575335293480e-07,1.255426527135025e-01,4.456617347546036e-04,5.218949173298751e-05,1.074162859902293e-02,4.779196283874242e-05,1.169737271869624e-04,2.154247508525955e-07,1.098714624830632e-01,1.893110682544475e-03,2.132114505219804e-04,2.051811689843871e-04
