y,Average Actual DNS d2U/dy2,Average Actual RANS d2U/dy2,Average Predicted d2U/dy2
0.0,-0.004900447451858179,0.2115214182536827,-0.00546340589553153
0.002002002002002002,-0.1268259460287267,-0.0491879924528205,-0.14134310154964994
0.004004004004004004,-0.25122154039246025,-0.16665924386752848,-0.2677636812660942
0.006006006006006006,-0.3222955423509492,-0.17960507151272395,-0.35580066444313246
0.008008008008008008,-0.394602979745239,-0.2641498002485288,-0.43269733031745794
0.01001001001001001,-0.4614020607990423,-0.3739482974816341,-0.49101085181947796
0.012012012012012012,-0.5095851418470356,-0.4475476964462241,-0.5291091883822158
0.014014014014014014,-0.5361131017109914,-0.4611927933992838,-0.5513770941373839
0.016016016016016016,-0.5444241155012673,-0.4331360869673344,-0.5615762337241911
0.018018018018018018,-0.540064288222944,-0.3964172720055131,-0.5622538178756654
0.02002002002002002,-0.5281265218754739,-0.3558437920423512,-0.555528405341145
0.022022022022022022,-0.5125941635391403,-0.33413399187436404,-0.5436979828597609
0.024024024024024024,-0.4962168231268981,-0.3217628861188393,-0.5291150866436605
0.026026026026026026,-0.48048005792256054,-0.31162932337326454,-0.5135494195847358
0.028028028028028028,-0.4662345372449569,-0.30263690494310513,-0.49838154285820446
0.03003003003003003,-0.453800200032247,-0.2940243561983916,-0.4844494947603393
0.03203203203203203,-0.4431437522426719,-0.2862998470379238,-0.4720806978086878
0.03403403403403403,-0.4341382293451815,-0.2802278572897322,-0.46143747008172376
0.036036036036036036,-0.4267847916773378,-0.276240447416071,-0.45258827269881724
0.03803803803803804,-0.42050246035010136,-0.27465225457651127,-0.4450002402426775
0.04004004004004004,-0.41532393596228373,-0.2746689841431229,-0.4386214735712222
0.04204204204204204,-0.41099585599799676,-0.27597541477239707,-0.433161072758485
0.044044044044044044,-0.4073157113268446,-0.27955416245440323,-0.42835967272077785
0.04604604604604605,-0.40410551544746903,-0.2824843330859856,-0.4239943281782285
0.04804804804804805,-0.40119476065899357,-0.29157925763997067,-0.41987279736018224
0.050050050050050046,-0.3986214964133886,-0.30064734842339685,-0.41599842765724443
0.05205205205205205,-0.3961454884156968,-0.30931084118669766,-0.4121562601158462
0.05405405405405406,-0.39371210084324565,-0.3172958364735873,-0.40830655243651187
0.056056056056056056,-0.391282831277671,-0.3242414793476661,-0.4044374349869044
0.058058058058058054,-0.38878545314005575,-0.32995652240242396,-0.40051511189135214
0.06006006006006006,-0.3861909041633534,-0.3341581582479577,-0.39653264161225643
0.062062062062062065,-0.38347257662189893,-0.33678795426895236,-0.3924950352627851
0.06406406406406406,-0.3805744602300757,-0.3378577397388252,-0.38838268402140563
0.06606606606606606,-0.3774606151577019,-0.3373349968751914,-0.3841871326987693
0.06806806806806806,-0.37413802832101656,-0.33545142769054614,-0.3799278944178958
0.07007007007007007,-0.3706368137770384,-0.3321943321943738,-0.3756376392085851
0.07207207207207207,-0.3669403625888246,-0.3278190474138643,-0.37131389223992173
0.07407407407407407,-0.36301106182876103,-0.32241224568688504,-0.36692742850218757
0.07607607607607608,-0.3588360617968097,-0.31613144948258315,-0.3624751821168763
