Degree,Alpha,Iters,Equation,R2 Train,RMSE Train,R2 Test,RMSE Test
1,0.1,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,6,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
5,0.01,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
5,0.1,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
4,0.01,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
4,0.1,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,2,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
3,0.1,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
2,0.01,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
2,0.1,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,10,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,9,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,8,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,7,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
3,0.01,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,5,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,9,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,5,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,7,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,4,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,3,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,8,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,4,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,6,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,3,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,2,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.01,1,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
1,0.1,10,(dP_dy)' = -1.000 dP_dy,0.9999998558703806,2.201612179057777e-06,0.9999999947348046,7.184755492688771e-07
2,0.1,5,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.01,6,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.1,2,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.01,10,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.1,6,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.01,8,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.01,7,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.01,9,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.1,3,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.01,4,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.1,7,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
2,0.1,8,(dP_dy)' = -1.000 dP_dy,0.999999910619288,1.7337485233579269e-06,0.9999999937003393,7.858928254990477e-07
