y,Average Actual DNS dvv/dy,Average Actual RANS dvv/dy,Average Predicted dvv/dy,average Predicted dvv/dy GA
0.0,-1.228826503170976e-05,-0.21554427695997194,-1.2288265068330063e-05,-3.404608549489945e-14
0.002002002002002002,0.04642800075663317,0.08314143915259704,0.046428001532701706,0.011956136146027625
0.004004004004004004,0.1354518721936588,0.2163761827229162,0.1354518783626825,0.12163195242529852
0.006006006006006006,0.21498786668885486,0.26544236619655714,0.21498788450301315,0.13796902644050882
0.008008008008008008,0.2783400154691316,0.35179138099296986,0.2783400495423199,0.14129933868320338
0.01001001001001001,0.32869341330009,0.43729968470813035,0.3286934662296993,0.22690933671829958
0.012012012012012012,0.37057736418755605,0.48904517881459425,0.3705774351386594,0.32139370641156473
0.014014014014014014,0.407026665791347,0.49766084215493017,0.40702675316746084,0.3901447233189857
0.016016016016016016,0.43948794656426937,0.47600684117756614,0.439488050732201,0.43584279218493954
0.018018018018018018,0.4684398877053421,0.44877267639345625,0.46844000865810503,0.46194142437887403
0.02002002002002002,0.4939347207022475,0.4241145585377259,0.4939348530248725,0.4699045052895819
0.022022022022022022,0.5159239815429667,0.4051737452693927,0.5159241108215574,0.46406855927144697
0.024024024024024024,0.5343885168980965,0.3898576915897819,0.5343886245530456,0.4520324274479683
0.026026026026026026,0.5494254735402204,0.3772302017530716,0.549425546342518,0.44196422952857833
0.028028028028028028,0.5612213217007463,0.3667623427745633,0.5612213564350339,0.43979279969105767
0.03003003003003003,0.5700276041221917,0.35817155596057565,0.5700276041221922,0.44811923780980994
0.03203203203203203,0.576138715131571,0.35122849132671774,0.5761386842339874,0.4658589730880669
0.03403403403403403,0.5799028791181241,0.34592929305860487,0.5799028187040075,0.489941865687259
0.036036036036036036,0.5816175934045896,0.34230228646535305,0.5816175027510259,0.5163291372799065
0.03803803803803804,0.5816213436648324,0.3401402037012976,0.5816212211802918,0.5408722569429952
0.04004004004004004,0.5801524269234355,0.33941602758474027,0.5801522720415869,0.5606244368820129
0.04204204204204204,0.5775533425266811,0.33991069639026883,0.5775531573721435,0.5735375782525243
0.044044044044044044,0.5739985840313071,0.3413520667057167,0.5739983729266029,0.5788353978509578
0.04604604604604605,0.5696875985695382,0.34344046875055273,0.5696873665371708,0.5766570987121445
0.04804804804804805,0.564822203903666,0.345834731384941,0.5648219571014599,0.5678949422764459
0.050050050050050046,0.559551190708963,0.3480851253564347,0.5595509409824152,0.5538471258129211
0.05205205205205205,0.5539807963728046,0.3500684086010667,0.5539805604339555,0.5359921821023281
0.05405405405405406,0.5481912508542074,0.3515058975274365,0.5481910452903709,0.5157802395896562
0.056056056056056056,0.5423012388344797,0.35227206051304655,0.5423010734699172,0.4946224750206153
0.058058058058058054,0.5363615713598359,0.3522992772192279,0.5363614446724366,0.47371263091766597
0.06006006006006006,0.5304233830758617,0.35152168036219017,0.5304232892334914,0.45396143627133345
0.062062062062062065,0.5245162198132493,0.3498324708910386,0.5245161535334238,0.43606247576985274
0.06406406406406406,0.5186688477629545,0.3472911065084728,0.5186688109102434,0.42055131805731166
0.06606606606606606,0.5129365322336603,0.34384226086356573,0.5129365271796269,0.40769050850878524
0.06806806806806806,0.5073277294809101,0.3396319045799436,0.5073277553899024,0.39759028240740785
0.07007007007007007,0.5018376605512146,0.33476820850135386,0.5018377083894799,0.39024900863301976
0.07207207207207207,0.49649543713252,0.3292000914205236,0.4964954966234992,0.38546809281275907
0.07407407407407407,0.491310991021815,0.32312987955122263,0.4913110532895701,0.3830379789917568
0.07607607607607608,0.4862798935682884,0.3165899487171974,0.48627995515130856,0.38272825951958017
